;period_from;period_to;point_type;cross_border_point_type;eu_relationship;region_key;adjacent_region_key;indicator;direction_key;value
0;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;Aggregated Point - Final Consumers;In-country EU;within EU;NWE;NWE;Physical Flow;exit;435108053.3
1;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;Aggregated production point - TP;In-country EU;within EU;NWE;NWE;Physical Flow;entry;131604861.926
2;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;Cross-Border Transmission IP between EU and Non-EU;Cross-Border EU|Non-EU;between EU and Non-EU;NWE;CH/IT;Physical Flow;entry;0.0
3;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;Cross-Border Transmission IP between EU and Non-EU;Cross-Border EU|Non-EU;between EU and Non-EU;NWE;CH/IT;Physical Flow;exit;957712065.5
4;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;Cross-Border Transmission IP between EU and Non-EU (import);Cross-Border EU|Non-EU;between EU and Non-EU;NWE;EE;Physical Flow;entry;5808001778.0
5;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;Cross-Border Transmission IP between EU and Non-EU (import);Cross-Border EU|Non-EU;between EU and Non-EU;NWE;EE;Physical Flow;exit;0.0
6;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;Cross-Border Transmission IP between EU and Non-EU (import);Cross-Border EU|Non-EU;between EU and Non-EU;NWE;NE;Physical Flow;entry;2864449404.3999996
7;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;Cross-Border Transmission IP between EU and Non-EU (import);Cross-Border EU|Non-EU;between EU and Non-EU;NWE;NE;Physical Flow;exit;0.0
8;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;Cross-Border Transmission IP within EU;Cross-Border EU|EU;within EU;NWE;CE;Physical Flow;entry;4802301492.0
9;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;Cross-Border Transmission IP within EU;Cross-Border EU|EU;within EU;NWE;CE;Physical Flow;exit;4680911906.0
10;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;Cross-Border Transmission IP within EU;Cross-Border EU|EU;within EU;NWE;NE;Physical Flow;entry;0.0
11;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;Cross-Border Transmission IP within EU;Cross-Border EU|EU;within EU;NWE;NE;Physical Flow;exit;135196180.0
12;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;Cross-Border Transmission IP within EU;Cross-Border EU|EU;within EU;NWE;NWE;Physical Flow;entry;2717986744.696
13;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;Cross-Border Transmission IP within EU;Cross-Border EU|EU;within EU;NWE;NWE;Physical Flow;exit;2533448508.6
14;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;Cross-Border Transmission IP within EU;Cross-Border EU|EU;within EU;NWE;WE;Physical Flow;entry;306219816.0
15;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;Cross-Border Transmission IP within EU;Cross-Border EU|EU;within EU;NWE;WE;Physical Flow;exit;24922758.0
16;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;Cross-Border Transmission IP within EU;In-country EU;within EU;NWE;NWE;Physical Flow;entry;921672854.0
17;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;Cross-Border Transmission IP within EU;In-country EU;within EU;NWE;NWE;Physical Flow;exit;0.0
18;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;Storage point;In-country EU;within EU;NWE;NWE;Physical Flow;entry;2231145638.319999
19;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;Storage point;In-country EU;within EU;NWE;NWE;Physical Flow;exit;151428581.87199998
