;period_from;period_to;operator_key;tso_eic_code;operator_label;point_key;point_label;tso_item_identifier;direction_key;allocation_process;item_remarks;general_remarks;last_update_date_time;id;dataset;indicator;period_type;unit;value;is_unlimited;flow_status;interruption_type;restoration_information;capacity_type;capacity_booking_status;is_cam_relevant;is_n_a;original_period_from;is_cmp_relevant
0;2018-01-01T00:00:00+01:00;2018-02-01T00:00:00+01:00;BE-TSO-0001;21X-BE-A-A0A0A-Y;Fluxys Belgium;DIS-00191;Distribution (BE) H-zone;21Y0000000000484;entry;;;Currently firm products with a duration of one month or longer are offered on this point in the regular allocation process.;2022-01-10T16:01:50+01:00;5BE-TSO-0001DIS-00191entry;4;;;;;;;;;;;;;;
1;2018-01-01T00:00:00+01:00;2018-02-01T00:00:00+01:00;BE-TSO-0001;21X-BE-A-A0A0A-Y;Fluxys Belgium;DIS-00191;Distribution (BE) H-zone;21Y0000000000484;exit;;;Currently firm products with a duration of one month or longer are offered on this point in the regular allocation process.;2022-01-10T16:01:50+01:00;5BE-TSO-0001DIS-00191exit;4;;;;;;;;;;;;;;
2;2018-01-01T00:00:00+01:00;2018-02-01T00:00:00+01:00;BE-TSO-0001;21X-BE-A-A0A0A-Y;Fluxys Belgium;DIS-00192;Distribution (BE) L-zone;21Y0000000000476;entry;;;Currently firm products with a duration of one month or longer are offered on this point in the regular allocation process.;2022-01-10T16:01:50+01:00;5BE-TSO-0001DIS-00192entry;4;;;;;;;;;;;;;;
3;2018-01-01T00:00:00+01:00;2018-02-01T00:00:00+01:00;BE-TSO-0001;21X-BE-A-A0A0A-Y;Fluxys Belgium;DIS-00192;Distribution (BE) L-zone;21Y0000000000476;exit;;;Currently firm products with a duration of one month or longer are offered on this point in the regular allocation process.;2022-01-10T16:01:50+01:00;5BE-TSO-0001DIS-00192exit;4;;;;;;;;;;;;;;
4;2018-01-01T00:00:00+01:00;2018-02-01T00:00:00+01:00;BE-TSO-0001;21X-BE-A-A0A0A-Y;Fluxys Belgium;FNC-00033;Final consumers (BE) (Fluxys) Industrial clients H-zone;21Y0000000000468;entry;;;Currently firm products with a duration of one month or longer are offered on this point in the regular allocation process.;2022-01-10T16:01:50+01:00;5BE-TSO-0001FNC-00033entry;4;;;;;;;;;;;;;;
5;2018-01-01T00:00:00+01:00;2018-02-01T00:00:00+01:00;BE-TSO-0001;21X-BE-A-A0A0A-Y;Fluxys Belgium;FNC-00033;Final consumers (BE) (Fluxys) Industrial clients H-zone;21Y0000000000468;exit;;;Currently firm products with a duration of one month or longer are offered on this point in the regular allocation process.;2022-01-10T16:01:50+01:00;5BE-TSO-0001FNC-00033exit;4;;;;;;;;;;;;;;
6;2018-01-01T00:00:00+01:00;2018-02-01T00:00:00+01:00;BE-TSO-0001;21X-BE-A-A0A0A-Y;Fluxys Belgium;FNC-00034;Final consumers (BE) (Fluxys) Industrial clients L-zone;21Y000000000045A;entry;;;Currently firm products with a duration of one month or longer are offered on this point in the regular allocation process.;2022-01-10T16:01:50+01:00;5BE-TSO-0001FNC-00034entry;4;;;;;;;;;;;;;;
7;2018-01-01T00:00:00+01:00;2018-02-01T00:00:00+01:00;BE-TSO-0001;21X-BE-A-A0A0A-Y;Fluxys Belgium;FNC-00034;Final consumers (BE) (Fluxys) Industrial clients L-zone;21Y000000000045A;exit;;;Currently firm products with a duration of one month or longer are offered on this point in the regular allocation process.;2022-01-10T16:01:50+01:00;5BE-TSO-0001FNC-00034exit;4;;;;;;;;;;;;;;
8;2018-01-01T00:00:00+01:00;2018-02-01T00:00:00+01:00;BE-TSO-0001;21X-BE-A-A0A0A-Y;Fluxys Belgium;FNC-00035;Final consumers (BE) (Fluxys) Power Plants H-zone;21Y000000000044C;entry;;;Currently firm products with a duration of one month or longer are offered on this point in the regular allocation process.;2022-01-10T16:01:50+01:00;5BE-TSO-0001FNC-00035entry;4;;;;;;;;;;;;;;
9;2018-01-01T00:00:00+01:00;2018-02-01T00:00:00+01:00;BE-TSO-0001;21X-BE-A-A0A0A-Y;Fluxys Belgium;FNC-00035;Final consumers (BE) (Fluxys) Power Plants H-zone;21Y000000000044C;exit;;;Currently firm products with a duration of one month or longer are offered on this point in the regular allocation process.;2022-01-10T16:01:50+01:00;5BE-TSO-0001FNC-00035exit;4;;;;;;;;;;;;;;
