;allocated_volume;auction_from;auction_to;booking_platform_key;booking_platform_label;booking_platform_u_r_l;capacity_booking_status;capacity_from;capacity_to;capacity_type;data_set;dataset;direction_key;flow_status;general_remarks;id;id_point_type;indicator;interruption_calculation_remark;interruption_type;is_archived;is_cam_relevant;is_cmp_relevant;is_n_a;is_unlimited;item_remarks;last_update_date_time;occurence_count;operator_key;operator_label;original_period_from;period_from;period_to;period_type;point_key;point_label;point_type;requested_volume;restoration_information;tso_eic_code;tso_item_identifier;unallocated_volume;unit;value
0;34000;N/A;N/A;;;;;2018-02-01T06:00:00+01:00;2018-03-01T06:00:00+01:00;;2.0;;Entry;;;22018-02-01 05:00:00 +00:002018-03-01 05:00:00 +00:00BE-TSO-0001ITP-00112EntrykWh/h;;;;;False;True;;;;;2018-02-20T11:18:02+01:00;3;BE-TSO-0001;Fluxys Belgium;;;;;ITP-00112;Eynatten 1 (BE) // Lichtenbusch / Raeren (DE);;135055;;21X-BE-A-A0A0A-Y;21Z0000000000155;101055;kWh/h;
1;1246865;N/A;N/A;;;;;2018-01-01T06:00:00+01:00;2018-04-01T06:00:00+02:00;;2.0;;Entry;;;22018-01-01 05:00:00 +00:002018-04-01 04:00:00 +00:00BE-TSO-0001ITP-00112EntrykWh/h;;;;;False;True;;;;;2019-02-07T16:16:03+01:00;1;BE-TSO-0001;Fluxys Belgium;;;;;ITP-00112;Eynatten 1 (BE) // Lichtenbusch / Raeren (DE);;1246875;;21X-BE-A-A0A0A-Y;21Z0000000000155;10;kWh/h;
2;426743;N/A;N/A;;;;;2018-01-01T06:00:00+01:00;2018-02-01T06:00:00+01:00;;2.0;;Entry;;;22018-01-01 05:00:00 +00:002018-02-01 05:00:00 +00:00BE-TSO-0001ITP-00101EntrykWh/h;;;;;False;True;;;;;2019-02-07T16:16:03+01:00;2;BE-TSO-0001;Fluxys Belgium;;;;;ITP-00101;Zelzate;;874190;;21X-BE-A-A0A0A-Y;21Z000000000019Y;447447;kWh/h;
3;;N/A;N/A;;;;;2018-01-01;2018-02-01;;;2.0;entry;;Currently there are no request for firm capacity products on this point with a duration of one month or longer that weren't successfully fulfilled.;5BE-TSO-0001DIS-00191entry;;;;;;;;;;;2022-01-10T16:01:50+01:00;;BE-TSO-0001;Fluxys Belgium;;;;;DIS-00191;Distribution (BE) H-zone;;;;21X-BE-A-A0A0A-Y;21Y0000000000484;;;
4;;N/A;N/A;;;;;2018-01-01;2018-02-01;;;2.0;exit;;Currently there are no request for firm capacity products on this point with a duration of one month or longer that weren't successfully fulfilled.;5BE-TSO-0001DIS-00191exit;;;;;;;;;;;2022-01-10T16:01:50+01:00;;BE-TSO-0001;Fluxys Belgium;;;;;DIS-00191;Distribution (BE) H-zone;;;;21X-BE-A-A0A0A-Y;21Y0000000000484;;;
5;;N/A;N/A;;;;;2018-01-01;2018-02-01;;;2.0;entry;;Currently there are no request for firm capacity products on this point with a duration of one month or longer that weren't successfully fulfilled.;5BE-TSO-0001DIS-00192entry;;;;;;;;;;;2022-01-10T16:01:50+01:00;;BE-TSO-0001;Fluxys Belgium;;;;;DIS-00192;Distribution (BE) L-zone;;;;21X-BE-A-A0A0A-Y;21Y0000000000476;;;
6;;N/A;N/A;;;;;2018-01-01;2018-02-01;;;2.0;exit;;Currently there are no request for firm capacity products on this point with a duration of one month or longer that weren't successfully fulfilled.;5BE-TSO-0001DIS-00192exit;;;;;;;;;;;2022-01-10T16:01:50+01:00;;BE-TSO-0001;Fluxys Belgium;;;;;DIS-00192;Distribution (BE) L-zone;;;;21X-BE-A-A0A0A-Y;21Y0000000000476;;;
7;;N/A;N/A;;;;;2018-01-01;2018-02-01;;;2.0;entry;;Currently there are no request for firm capacity products on this point with a duration of one month or longer that weren't successfully fulfilled.;5BE-TSO-0001FNC-00033entry;;;;;;;;;;;2022-01-10T16:01:50+01:00;;BE-TSO-0001;Fluxys Belgium;;;;;FNC-00033;Final consumers (BE) (Fluxys) Industrial clients H-zone;;;;21X-BE-A-A0A0A-Y;21Y0000000000468;;;
8;;N/A;N/A;;;;;2018-01-01;2018-02-01;;;2.0;exit;;Currently there are no request for firm capacity products on this point with a duration of one month or longer that weren't successfully fulfilled.;5BE-TSO-0001FNC-00033exit;;;;;;;;;;;2022-01-10T16:01:50+01:00;;BE-TSO-0001;Fluxys Belgium;;;;;FNC-00033;Final consumers (BE) (Fluxys) Industrial clients H-zone;;;;21X-BE-A-A0A0A-Y;21Y0000000000468;;;
9;;N/A;N/A;;;;;2018-01-01;2018-02-01;;;2.0;entry;;Currently there are no request for firm capacity products on this point with a duration of one month or longer that weren't successfully fulfilled.;5BE-TSO-0001FNC-00034entry;;;;;;;;;;;2022-01-10T16:01:50+01:00;;BE-TSO-0001;Fluxys Belgium;;;;;FNC-00034;Final consumers (BE) (Fluxys) Industrial clients L-zone;;;;21X-BE-A-A0A0A-Y;21Y000000000045A;;;
