;country_key;country_label;bz_key;bz_label;bz_label_long;operator_key;operator_label;direction_key;adjacent_systems_key;adjacent_systems_count;adjacent_systems_are_balancing_zones;adjacent_systems_label;id;data_set
0;AT;Austria;AT---------;Austria;Austrian Balancing Zone;AT-DSO-0001;Vorarlberger Erdgas GmbH;exit;TransmissionDE-THE-----;1;;DE THE BZ;6ATAT---------AT-DSO-0001exitTransmissionDE-THE-----;6
1;AT;Austria;AT---------;Austria;Austrian Balancing Zone;AT-TSO-0001;Gas Connect Austria GmbH;entry;TransmissionSI---------;1;;Slovenia;6ATAT---------AT-TSO-0001entryTransmissionSI---------;6
2;AT;Austria;AT---------;Austria;Austrian Balancing Zone;AT-TSO-0003;TAG GmbH;entry;TransmissionIT---------;1;;Italy;6ATAT---------AT-TSO-0003entryTransmissionIT---------;6
3;AT;Austria;AT---------;Austria;Austrian Balancing Zone;AT-TSO-0004;TIGAS GmbH;entry;TransmissionDE-THE-----;1;;DE THE BZ;6ATAT---------AT-TSO-0004entryTransmissionDE-THE-----;6
4;AT;Austria;AT---------;Austria;Austrian Balancing Zone;AT-DSO-0001;Vorarlberger Erdgas GmbH;entry;TransmissionDE-THE-----;1;;DE THE BZ;6ATAT---------AT-DSO-0001entryTransmissionDE-THE-----;6
5;AT;Austria;AT---------;Austria;Austrian Balancing Zone;AT-TSO-0001;Gas Connect Austria GmbH;exit;TransmissionSI---------;1;;Slovenia;6ATAT---------AT-TSO-0001exitTransmissionSI---------;6
6;AT;Austria;AT---------;Austria;Austrian Balancing Zone;AT-TSO-0003;TAG GmbH;entry;TransmissionSK---------;1;;Slovakia;6ATAT---------AT-TSO-0003entryTransmissionSK---------;6
7;AT;Austria;AT---------;Austria;Austrian Balancing Zone;AT-TSO-0003;TAG GmbH;exit;TransmissionSK---------;1;;Slovakia;6ATAT---------AT-TSO-0003exitTransmissionSK---------;6
8;AT;Austria;AT---------;Austria;Austrian Balancing Zone;AT-TSO-0001;Gas Connect Austria GmbH;entry;TransmissionDE-THE-----;1;;DE THE BZ;6ATAT---------AT-TSO-0001entryTransmissionDE-THE-----;6
9;AT;Austria;AT---------;Austria;Austrian Balancing Zone;AT-TSO-0001;Gas Connect Austria GmbH;exit;TransmissionDE-THE-----;1;;DE THE BZ;6ATAT---------AT-TSO-0001exitTransmissionDE-THE-----;6
10;AT;Austria;AT---------;Austria;Austrian Balancing Zone;AT-TSO-0001;Gas Connect Austria GmbH;exit;TransmissionHU---------;1;;Hungary;6ATAT---------AT-TSO-0001exitTransmissionHU---------;6
11;AT;Austria;AT---------;Austria;Austrian Balancing Zone;AT-TSO-0001;Gas Connect Austria GmbH;entry;TransmissionHU---------;1;;Hungary;6ATAT---------AT-TSO-0001entryTransmissionHU---------;6
12;AT;Austria;AT---------;Austria;Austrian Balancing Zone;AT-TSO-0003;TAG GmbH;exit;TransmissionIT---------;1;;Italy;6ATAT---------AT-TSO-0003exitTransmissionIT---------;6
13;AT;Austria;AT---------;Austria;Austrian Balancing Zone;AT-TSO-0008;EVA-Erdgasversorung Außerfern GmbH;entry;TransmissionDE-THE-----;1;;DE THE BZ;6ATAT---------AT-TSO-0008entryTransmissionDE-THE-----;6
14;AT;Austria;AT---------;Austria;Austrian Balancing Zone;AT-TSO-0001;Gas Connect Austria GmbH;entry;TransmissionSK---------;1;;Slovakia;6ATAT---------AT-TSO-0001entryTransmissionSK---------;6
15;AT;Austria;AT---------;Austria;Austrian Balancing Zone;AT-TSO-0001;Gas Connect Austria GmbH;exit;TransmissionSK---------;1;;Slovakia;6ATAT---------AT-TSO-0001exitTransmissionSK---------;6
16;BE;Belgium;BE-L-ZONE--;L-Zone;Belgian L-Zone;BE-TSO-0001;Fluxys Belgium;entry;TransmissionFR----------;1;;TRF;6BEBE-L-ZONE--BE-TSO-0001entryTransmissionFR----------;6
17;BE;Belgium;BE-LUX------;BeLux;Belgian and Luxembourg Balancing Zone;BE-TSO-0001;Fluxys Belgium;entry;Distribution;1;;Distribution;6BEBE-LUX------BE-TSO-0001entryDistribution;6
18;BE;Belgium;BE-LUX------;BeLux;Belgian and Luxembourg Balancing Zone;BE-TSO-0001;Fluxys Belgium;exit;Transmission;1;;Transmission;6BEBE-LUX------BE-TSO-0001exitTransmission;6
19;BG;Bulgaria;BG-NGTS----;Bulgaria;Balancing Zone Bulgaria;BG-TSO-0001;Bulgartransgaz EAD;entry;Storage;1;;Storage;6BGBG-NGTS----BG-TSO-0001entryStorage;6
20;BG;Bulgaria;BG-NGTS----;Bulgaria;Balancing Zone Bulgaria;BG-TSO-0001;Bulgartransgaz EAD;exit;Final Consumers;1;;Final Consumers;6BGBG-NGTS----BG-TSO-0001exitFinal Consumers;6
21;DE;Germany;DE-THE-----;DE THE BZ;German Balancing Zone THE;DE-TSO-0001;GASCADE Gastransport GmbH;exit;TransmissionNL---------;1;;Netherlands;6DEDE-THE-----DE-TSO-0001exitTransmissionNL---------;6
22;DE;Germany;DE-THE-----;DE THE BZ;German Balancing Zone THE;DE-TSO-0002;Thyssengas GmbH;exit;Final Consumers;1;;Final Consumers;6DEDE-THE-----DE-TSO-0002exitFinal Consumers;6
23;DE;Germany;DE-THE-----;DE THE BZ;German Balancing Zone THE;DE-TSO-0002;Thyssengas GmbH;exit;TransmissionBE-LUX------;1;;BeLux;6DEDE-THE-----DE-TSO-0002exitTransmissionBE-LUX------;6
24;DE;Germany;DE-THE-----;DE THE BZ;German Balancing Zone THE;DE-TSO-0003;ONTRAS Gastransport GmbH;entry;TransmissionCZ---------;1;;Czech;6DEDE-THE-----DE-TSO-0003entryTransmissionCZ---------;6
25;DE;Germany;DE-THE-----;DE THE BZ;German Balancing Zone THE;DE-TSO-0003;ONTRAS Gastransport GmbH;exit;TransmissionCZ---------;1;;Czech;6DEDE-THE-----DE-TSO-0003exitTransmissionCZ---------;6
26;DE;Germany;DE-THE-----;DE THE BZ;German Balancing Zone THE;DE-TSO-0005;Gasunie Deutschland Transport Services GmbH;exit;Final Consumers;1;;Final Consumers;6DEDE-THE-----DE-TSO-0005exitFinal Consumers;6
27;DE;Germany;DE-THE-----;DE THE BZ;German Balancing Zone THE;DE-TSO-0005;Gasunie Deutschland Transport Services GmbH;exit;Storage;1;;Storage;6DEDE-THE-----DE-TSO-0005exitStorage;6
28;DE;Germany;DE-THE-----;DE THE BZ;German Balancing Zone THE;DE-TSO-0005;Gasunie Deutschland Transport Services GmbH;exit;TransmissionDK-SE-------;1;;Joint Bal Zone DK/SE;6DEDE-THE-----DE-TSO-0005exitTransmissionDK-SE-------;6
29;DE;Germany;DE-THE-----;DE THE BZ;German Balancing Zone THE;DE-TSO-0009;Open Grid Europe GmbH;entry;TransmissionDK-SE-------;1;;Joint Bal Zone DK/SE;6DEDE-THE-----DE-TSO-0009entryTransmissionDK-SE-------;6
30;DE;Germany;DE-THE-----;DE THE BZ;German Balancing Zone THE;DE-TSO-0009;Open Grid Europe GmbH;entry;TransmissionFR----------;1;;TRF;6DEDE-THE-----DE-TSO-0009entryTransmissionFR----------;6
31;DE;Germany;DE-THE-----;DE THE BZ;German Balancing Zone THE;DE-TSO-0009;Open Grid Europe GmbH;exit;Storage;1;;Storage;6DEDE-THE-----DE-TSO-0009exitStorage;6
32;DE;Germany;DE-THE-----;DE THE BZ;German Balancing Zone THE;DE-TSO-0009;Open Grid Europe GmbH;exit;TransmissionFR----------;1;;TRF;6DEDE-THE-----DE-TSO-0009exitTransmissionFR----------;6
