;country_key;country_label;bz_key;bz_label;bz_label_long;operator_key;operator_label;direction_key;adjacent_systems_key;adjacent_systems_count;adjacent_systems_are_balancing_zones;adjacent_systems_label;id;data_set
0;BE;Belgium;BE-L-ZONE--;L-Zone;Belgian L-Zone;BE-TSO-0001;Fluxys Belgium;entry;Distribution;1;;Distribution;6BEBE-L-ZONE--BE-TSO-0001entryDistribution;6
1;BE;Belgium;BE-L-ZONE--;L-Zone;Belgian L-Zone;BE-TSO-0001;Fluxys Belgium;entry;Final Consumers;1;;Final Consumers;6BEBE-L-ZONE--BE-TSO-0001entryFinal Consumers;6
2;BE;Belgium;BE-L-ZONE--;L-Zone;Belgian L-Zone;BE-TSO-0001;Fluxys Belgium;entry;TransmissionBE-LUX------;1;;BeLux;6BEBE-L-ZONE--BE-TSO-0001entryTransmissionBE-LUX------;6
3;BE;Belgium;BE-L-ZONE--;L-Zone;Belgian L-Zone;BE-TSO-0001;Fluxys Belgium;entry;TransmissionNL---------;1;;Netherlands;6BEBE-L-ZONE--BE-TSO-0001entryTransmissionNL---------;6
4;BE;Belgium;BE-L-ZONE--;L-Zone;Belgian L-Zone;BE-TSO-0001;Fluxys Belgium;exit;Distribution;1;;Distribution;6BEBE-L-ZONE--BE-TSO-0001exitDistribution;6
5;BE;Belgium;BE-L-ZONE--;L-Zone;Belgian L-Zone;BE-TSO-0001;Fluxys Belgium;exit;Final Consumers;1;;Final Consumers;6BEBE-L-ZONE--BE-TSO-0001exitFinal Consumers;6
6;BE;Belgium;BE-L-ZONE--;L-Zone;Belgian L-Zone;BE-TSO-0001;Fluxys Belgium;exit;TransmissionBE-LUX------;1;;BeLux;6BEBE-L-ZONE--BE-TSO-0001exitTransmissionBE-LUX------;6
7;BE;Belgium;BE-L-ZONE--;L-Zone;Belgian L-Zone;BE-TSO-0001;Fluxys Belgium;exit;TransmissionNL---------;1;;Netherlands;6BEBE-L-ZONE--BE-TSO-0001exitTransmissionNL---------;6
8;BE;Belgium;BE-LUX------;BeLux;Belgian and Luxembourg Balancing Zone;BE-TSO-0001;Fluxys Belgium;entry;Distribution;1;;Distribution;6BEBE-LUX------BE-TSO-0001entryDistribution;6
9;BE;Belgium;BE-LUX------;BeLux;Belgian and Luxembourg Balancing Zone;BE-TSO-0001;Fluxys Belgium;entry;Final Consumers;1;;Final Consumers;6BEBE-LUX------BE-TSO-0001entryFinal Consumers;6
