;adjacent_bz_key;adjacent_systems_label;country_key;direction_key;indicator;period_from;period_to;region_key;value
0;-----------;Distribution;BE;entry;Allocation;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;156415
1;-----------;Distribution;BE;exit;Allocation;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;445461937
2;-----------;Distribution;BE;entry;Physical Flow;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;0
3;-----------;Distribution;BE;exit;Physical Flow;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;445305522
4;-----------;Final Consumers;BE;entry;Allocation;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;0
5;-----------;Final Consumers;BE;exit;Allocation;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;223622617
6;-----------;Final Consumers;BE;exit;Physical Flow;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;223622617
7;-----------;LNG Terminals;BE;entry;Nomination/Renomination;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;0
8;-----------;LNG Terminals;BE;exit;Nomination/Renomination;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;0
9;-----------;LNG Terminals;BE;entry;Physical Flow;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;80814388
10;-----------;LNG Terminals;BE;exit;Physical Flow;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;0
11;-----------;Storage;BE;entry;Nomination/Renomination;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;0
12;-----------;Storage;BE;exit;Nomination/Renomination;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;0
13;-----------;Storage;BE;entry;Physical Flow;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;116135261
14;-----------;Storage;BE;exit;Physical Flow;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;0
15;-----------;Transmission;BE;entry;Nomination/Renomination;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;0
16;-----------;Transmission;BE;exit;Nomination/Renomination;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;0
17;-----------;Transmission;BE;entry;Physical Flow;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;468239636
18;-----------;Transmission;BE;exit;Physical Flow;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;0
