;period_from;period_to;region_key;country_key;adjacent_bz_key;adjacent_systems_key;adjacent_systems_label;indicator;direction_key;note;value
0;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;AT;DE-NCG-----;TransmissionDE-NCG-----;NCG;Allocation;entry;;1743666.0
1;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;AT;DE-NCG-----;TransmissionDE-NCG-----;NCG;Allocation;exit;;171149797.0
2;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;AT;DE-NCG-----;TransmissionDE-NCG-----;NCG;Nomination/Renomination;entry;;167765420.0
3;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;AT;DE-NCG-----;TransmissionDE-NCG-----;NCG;Nomination/Renomination;exit;;352300249.0
4;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;AT;DE-NCG-----;TransmissionDE-NCG-----;NCG;Physical Flow;entry;;4041269.0
5;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;AT;DE-NCG-----;TransmissionDE-NCG-----;NCG;Physical Flow;exit;;152095981.0
6;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;AT;HU---------;TransmissionHU---------;Hungary;Allocation;exit;;25414633.0
7;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;AT;HU---------;TransmissionHU---------;Hungary;Nomination/Renomination;exit;;45265392.0
8;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;AT;HU---------;TransmissionHU---------;Hungary;Physical Flow;exit;;25133877.0
9;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;AT;IT---------;TransmissionIT---------;Italy;Allocation;entry;;0.0
10;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;AT;IT---------;TransmissionIT---------;Italy;Allocation;exit;;733321909.0
11;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;AT;IT---------;TransmissionIT---------;Italy;Nomination/Renomination;entry;;0.0
12;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;AT;IT---------;TransmissionIT---------;Italy;Nomination/Renomination;exit;;733321909.0
13;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;AT;IT---------;TransmissionIT---------;Italy;Physical Flow;entry;;0.0
14;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;AT;IT---------;TransmissionIT---------;Italy;Physical Flow;exit;;733974117.0
15;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;AT;SI---------;TransmissionSI---------;Slovenia;Allocation;exit;;30279800.0
16;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;AT;SI---------;TransmissionSI---------;Slovenia;Nomination/Renomination;exit;;32911900.0
17;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;AT;SI---------;TransmissionSI---------;Slovenia;Physical Flow;exit;;31062765.0
18;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;AT;SK---------;TransmissionSK---------;Slovakia;Allocation;entry;;1060142216.0
19;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;AT;SK---------;TransmissionSK---------;Slovakia;Allocation;exit;;7640107.0
20;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;AT;SK---------;TransmissionSK---------;Slovakia;Nomination/Renomination;entry;;1264427148.0
21;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;AT;SK---------;TransmissionSK---------;Slovakia;Nomination/Renomination;exit;;7038093.0
22;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;AT;SK---------;TransmissionSK---------;Slovakia;Physical Flow;entry;;1042939755.0
23;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;AT;SK---------;TransmissionSK---------;Slovakia;Physical Flow;exit;;0.0
24;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;AT;DE-NCG-----;TransmissionDE-NCG-----;NCG;Allocation;entry;;1755626.0
25;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;AT;DE-NCG-----;TransmissionDE-NCG-----;NCG;Allocation;exit;;176998916.0
26;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;AT;DE-NCG-----;TransmissionDE-NCG-----;NCG;Nomination/Renomination;entry;;115856927.0
27;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;AT;DE-NCG-----;TransmissionDE-NCG-----;NCG;Nomination/Renomination;exit;;379203520.0
28;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;AT;DE-NCG-----;TransmissionDE-NCG-----;NCG;Physical Flow;entry;;4260327.0
29;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;AT;DE-NCG-----;TransmissionDE-NCG-----;NCG;Physical Flow;exit;;176664813.0
30;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;AT;HU---------;TransmissionHU---------;Hungary;Allocation;exit;;25200933.0
31;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;AT;HU---------;TransmissionHU---------;Hungary;Nomination/Renomination;exit;;40342505.0
32;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;AT;HU---------;TransmissionHU---------;Hungary;Physical Flow;exit;;24448322.0
33;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;AT;IT---------;TransmissionIT---------;Italy;Allocation;entry;;0.0
34;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;AT;IT---------;TransmissionIT---------;Italy;Allocation;exit;;732905609.0
35;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;AT;IT---------;TransmissionIT---------;Italy;Nomination/Renomination;entry;;0.0
36;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;AT;IT---------;TransmissionIT---------;Italy;Nomination/Renomination;exit;;732905609.0
37;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;AT;IT---------;TransmissionIT---------;Italy;Physical Flow;entry;;0.0
38;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;AT;IT---------;TransmissionIT---------;Italy;Physical Flow;exit;;731326190.0
39;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;AT;SI---------;TransmissionSI---------;Slovenia;Allocation;exit;;33363200.0
40;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;AT;SI---------;TransmissionSI---------;Slovenia;Nomination/Renomination;exit;;32927315.0
41;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;AT;SI---------;TransmissionSI---------;Slovenia;Physical Flow;exit;;34097476.0
42;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;AT;SK---------;TransmissionSK---------;Slovakia;Allocation;entry;;1057205916.0
43;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;AT;SK---------;TransmissionSK---------;Slovakia;Allocation;exit;;7679107.0
44;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;AT;SK---------;TransmissionSK---------;Slovakia;Nomination/Renomination;entry;;1260243994.0
45;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;AT;SK---------;TransmissionSK---------;Slovakia;Nomination/Renomination;exit;;7313329.0
46;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;AT;SK---------;TransmissionSK---------;Slovakia;Physical Flow;entry;;1038133649.0
47;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;AT;SK---------;TransmissionSK---------;Slovakia;Physical Flow;exit;;0.0
0;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;NWE;BE;-----------;Distribution;Distribution;Allocation;entry;;156415.0
1;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;NWE;BE;-----------;Distribution;Distribution;Allocation;exit;;445461937.0
2;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;NWE;BE;-----------;Distribution;Distribution;Physical Flow;entry;;0.0
3;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;NWE;BE;-----------;Distribution;Distribution;Physical Flow;exit;;445305522.0
4;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;NWE;BE;-----------;Final Consumers;Final Consumers;Allocation;entry;;0.0
5;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;NWE;BE;-----------;Final Consumers;Final Consumers;Allocation;exit;;223622617.0
6;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;NWE;BE;-----------;Final Consumers;Final Consumers;Physical Flow;exit;;223622617.0
7;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;NWE;BE;-----------;LNG Terminals;LNG Terminals;Nomination/Renomination;entry;;0.0
8;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;NWE;BE;-----------;LNG Terminals;LNG Terminals;Nomination/Renomination;exit;;0.0
9;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;NWE;BE;-----------;LNG Terminals;LNG Terminals;Physical Flow;entry;;80814388.0
10;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;NWE;BE;-----------;LNG Terminals;LNG Terminals;Physical Flow;exit;;0.0
11;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;NWE;BE;-----------;Storage;Storage;Nomination/Renomination;entry;;0.0
12;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;NWE;BE;-----------;Storage;Storage;Nomination/Renomination;exit;;0.0
