;adjacent_bz_key;adjacent_systems_label;country_key;direction_key;indicator;period_from;period_to;region_key;value
0;-----------;Final Consumers;DE;aggregated;Allocation;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;-158766972.3
1;-----------;Final Consumers;DE;aggregated;Physical Flow;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;-467960819.3
2;-----------;Production;DE;aggregated;Allocation;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;60393108.0
3;-----------;Production;DE;aggregated;Nomination/Renomination;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;67938936.0
4;-----------;Production;DE;aggregated;Physical Flow;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;131604861.926
5;-----------;Storage;DE;aggregated;Allocation;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;1096861604.0
6;-----------;Storage;DE;aggregated;Nomination/Renomination;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;1219964214.0
7;-----------;Storage;DE;aggregated;Physical Flow;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;1416844873.074
8;-----------;Transmission;DE;aggregated;Allocation;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;2104561816.0
9;-----------;Transmission;DE;aggregated;Nomination/Renomination;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;2110389816.0
10;-----------;Transmission;DE;aggregated;Physical Flow;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;4336184299.2
11;AT---------;Austria;DE;aggregated;Allocation;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;150493965.0
12;AT---------;Austria;DE;aggregated;Nomination/Renomination;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;133740129.0
13;AT---------;Austria;DE;aggregated;Physical Flow;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;262252644.0
