;adjacent_bz_key;adjacent_systems_label;bz_key;country_key;direction_key;indicator;period_from;period_to;region_key;value
0;-----------;Final Consumers;DE-GASPOOL-;DE;aggregated;Allocation;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;-30771011.0
1;-----------;Final Consumers;DE-GASPOOL-;DE;aggregated;Physical Flow;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;-292966141.3
2;-----------;Production;DE-GASPOOL-;DE;aggregated;Allocation;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;60273108.0
3;-----------;Production;DE-GASPOOL-;DE;aggregated;Nomination/Renomination;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;67818936.0
4;-----------;Production;DE-GASPOOL-;DE;aggregated;Physical Flow;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;131267758.926
5;-----------;Storage;DE-GASPOOL-;DE;aggregated;Allocation;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;610145446.0
6;-----------;Storage;DE-GASPOOL-;DE;aggregated;Nomination/Renomination;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;610145446.0
7;-----------;Storage;DE-GASPOOL-;DE;aggregated;Physical Flow;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;744535687.942
8;-----------;Transmission;DE-GASPOOL-;DE;aggregated;Allocation;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;1833777461.0
9;-----------;Transmission;DE-GASPOOL-;DE;aggregated;Nomination/Renomination;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;1833777461.0
10;-----------;Transmission;DE-GASPOOL-;DE;aggregated;Physical Flow;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;3858605401.6
11;CZ---------;Czech;DE-GASPOOL-;DE;aggregated;Allocation;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;-1251863507.0
12;CZ---------;Czech;DE-GASPOOL-;DE;aggregated;Nomination/Renomination;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;-1251863507.0
13;CZ---------;Czech;DE-GASPOOL-;DE;aggregated;Physical Flow;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;-2990918733.0
14;DE-NCG-----;NCG;DE-GASPOOL-;DE;aggregated;Allocation;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;-166407624.0
15;DE-NCG-----;NCG;DE-GASPOOL-;DE;aggregated;Nomination/Renomination;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;-166407624.0
16;DE-NCG-----;NCG;DE-GASPOOL-;DE;aggregated;Physical Flow;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;-497095747.0
17;E-LUX------;BeLux;DE-GASPOOL-;DE;aggregated;Allocation;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;-74094144.0
18;E-LUX------;BeLux;DE-GASPOOL-;DE;aggregated;Nomination/Renomination;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;-74094144.0
19;E-LUX------;BeLux;DE-GASPOOL-;DE;aggregated;Physical Flow;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;-89000690.0
20;K-SE-------;Joint Bal Zone DK/SE;DE-GASPOOL-;DE;aggregated;Allocation;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;-62371784.0
21;K-SE-------;Joint Bal Zone DK/SE;DE-GASPOOL-;DE;aggregated;Nomination/Renomination;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;-62371784.0
22;K-SE-------;Joint Bal Zone DK/SE;DE-GASPOOL-;DE;aggregated;Physical Flow;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;-67598090.0
23;NL---------;Netherlands;DE-GASPOOL-;DE;aggregated;Allocation;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;-270507672.0
24;NL---------;Netherlands;DE-GASPOOL-;DE;aggregated;Nomination/Renomination;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;-270507672.0
25;NL---------;Netherlands;DE-GASPOOL-;DE;aggregated;Physical Flow;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;-366293567.0
26;PL---------;Poland H-gas;DE-GASPOOL-;DE;aggregated;Allocation;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;-3912000.0
27;PL---------;Poland H-gas;DE-GASPOOL-;DE;aggregated;Nomination/Renomination;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;-3912000.0
28;PL---------;Poland H-gas;DE-GASPOOL-;DE;aggregated;Physical Flow;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;-4047494.0
29;PL-YAMAL---;TGPS (YAMAL);DE-GASPOOL-;DE;aggregated;Allocation;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;857619250.0
30;PL-YAMAL---;TGPS (YAMAL);DE-GASPOOL-;DE;aggregated;Nomination/Renomination;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;857619250.0
31;PL-YAMAL---;TGPS (YAMAL);DE-GASPOOL-;DE;aggregated;Physical Flow;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;857558300.0
