;tp_map_x;tp_map_y;control_point_type;bz_key;bz_label;bz_label_long;bz_tooltip;bz_eic_code;bz_manager_key;bz_manager_label;replaced_by;is_deactivated;id;data_set
0;14.37;-19.85;BALZONE;AT---------;Austria;Austrian Balancing Zone;Austrian Balancing Zone|21Y000000000009E;21Y000000000009E;AT-BRP-0001;Central European Gas Hub AG;;0;3AT---------;3
1;0.0;0.0;BALZONE;BE-H-ZONE--;H-Zone;Belgian H-Zone;Belgian H-Zone|21Z000000000248J;21Z000000000248J;BE-TSO-0001;Fluxys Belgium;BE-LUX------;0;3BE-H-ZONE--;3
2;-32.0;1.0;BALZONE;BE-L-ZONE--;L-Zone;Belgian L-Zone;Belgian L-Zone|21Y000000000023K;21Y000000000023K;BE-TSO-0001;Fluxys Belgium;;0;3BE-L-ZONE--;3
3;-30.01;-0.8;BALZONE;BE-LUX------;BeLux;Belgian and Luxembourg Balancing Zone;Belgian and Luxembourg Balancing Zone|21Y000000000024I;21Y000000000024I;BE-TSO-0001;Fluxys Belgium;;0;3BE-LUX------;3
4;0.0;0.0;BALZONE;BG-GTNTT---;GTNTT-BG;Gas transmission network for transit transmission (Bulgaria);Gas transmission network for transit transmission (Bulgaria)|21Y000000000027C;21Y000000000027C;BG-TSO-0001;Bulgartransgaz EAD;BG-NGTS----;0;3BG-GTNTT---;3
5;62.45;-50.46;BALZONE;BG-NGTS----;Bulgaria;Balancing Zone Bulgaria;Balancing Zone Bulgaria|21Y000000000026E;21Y000000000026E;BG-TSO-0001;Bulgartransgaz EAD;;0;3BG-NGTS----;3
6;-20.0;-24.0;BALZONE;CH---------;Switzerland;Swiss Balancing Zone;Swiss Balancing Zone|21Y---A001A018-N;21Y---A001A018-N;CH-TSO-0001;Swissgas AS;;0;3CH---------;3
7;13.0;-9.0;BALZONE;CZ---------;Czech;Czech Balancing Zone;Czech Balancing Zone|21Y---A001A001-B;21Y---A001A001-B;CZ-TSO-0001;NET4GAS, s.r.o.;;0;3CZ---------;3
8;0.0;0.0;BALZONE;DE-GASPOOL-;GASPOOL;GASPOOL Balancing Zone;GASPOOL Balancing Zone|37Y701133MH0000P;37Y701133MH0000P;DE-BRP-0001;GASPOOL Balancing Services GmbH;DE-THE-----;0;3DE-GASPOOL-;3
9;0.0;0.0;BALZONE;DE-NCG-----;NCG;NCG Balancing Zone;NCG Balancing Zone|37Y701125MH0000I;37Y701125MH0000I;DE-BRP-0002;Net Connect Germany;DE-THE-----;0;3DE-NCG-----;3
10;0.0;0.0;BALZONE;DK---------;Denmark;Danish Balancing Zone;Danish Balancing Zone|                ;                ;DK-TSO-0001;Energinet;DK-SE-------;0;3DK---------;3
11;0.0;0.0;BALZONE;EE---------;Estonia;Estonian Balancing Zone;Estonian Balancing Zone|                ;                ;EE-TSO-0001;Elering AS;EE-LV------;0;3EE---------;3
12;-100.0;-42.0;BALZONE;ES---------;Spain;Spanish Balancing Zone;Spanish Balancing Zone|21Y---A002A005-T;21Y---A002A005-T;ES-TSO-0006;Enagas Transporte S.A.U.;;0;3ES---------;3
13;56.0;61.0;BALZONE;FI---------;Finland;Finnish Balancing Zone;Finnish Balancing Zone|21Y000000000078W;21Y000000000078W;FI-TSO-0003;Gasgrid Finland Oy;;0;3FI---------;3
14;0.0;0.0;BALZONE;FR-NORTH---;PEG North;French North Balancing Zone;French North Balancing Zone|21YPNT-EX-GAS-NT;21YPNT-EX-GAS-NT;FR-TSO-0003;GRTgaz;FR----------;0;3FR-NORTH---;3
15;0.0;0.0;BALZONE;FR-SOUTH---;PEG South;French South Balancing Zone;French South Balancing Zone|21YPNT-EX-GAS-SJ;21YPNT-EX-GAS-SJ;FR-TSO-0003;GRTgaz;FR-TRS------;0;3FR-SOUTH---;3
16;0.0;0.0;BALZONE;FR-TIGF----;PEG TIGF;TIGF Balancing Zone;TIGF Balancing Zone|21Y000000000002S;21Y000000000002S;FR-TSO-0002;TERÉGA;FR-TRS------;0;3FR-TIGF----;3
17;0.0;0.0;BALZONE;FR-TRS------;TRS;Trading Region South;Trading Region South|21Y000000000041I;21Y000000000041I;FR-TSO-0003;GRTgaz;FR----------;0;3FR-TRS------;3
18;47.0;-64.0;BALZONE;GR---------;Greece;Greek Balancing Zone;Greek Balancing Zone|21Y000000000131H;21Y000000000131H;GR-TSO-0001;DESFA S.A.;;0;3GR---------;3
19;12.0;-39.0;BALZONE;HR---------;Croatia;Croatian Balancing Zone;Croatian Balancing Zone|21Y000000000105I;21Y000000000105I;HR-TSO-0001;Plinacro Ltd;;0;3HR---------;3
20;30.0;-31.0;BALZONE;HU---------;Hungary;Hungarian Balancing Zone;Hungarian Balancing Zone|39YSINBP000000NE;39YSINBP000000NE;HU-TSO-0001;FGSZ Ltd.;;0;3HU---------;3
21;-84.0;29.0;BALZONE;IE---------;Ireland;Irish Balancing Point;Irish Balancing Point|21Y---A001A009-O;21Y---A001A009-O;IE-TSO-0002;Gas Networks Ireland;;0;3IE---------;3
22;-6.0;-49.0;BALZONE;IT---------;Italy;Punto Scambio Virtuale;Punto Scambio Virtuale|21Y---A001A010-A;21Y---A001A010-A;IT-TSO-0001;Snam Rete Gas S.p.A.;;0;3IT---------;3
23;49.0;31.0;BALZONE;LT---------;Lithuania;Lithuanian balancing zone;Lithuanian balancing zone|21Y000000000079U;21Y000000000079U;LT-TSO-0001;AB Amber Grid;;0;3LT---------;3
24;0.0;0.0;BALZONE;LU---------;Luxemburg;Luxemburg balancing zone;Luxemburg balancing zone|                ;                ;LU-TSO-0001;Creos Luxembourg S.A.;BE-LUX------;0;3LU---------;3
25;0.0;0.0;BALZONE;LV---------;Latvia;Latvian balancing zone;Latvian balancing zone|                ;                ;LV-TSO-0001;Conexus Baltic Grid;EE-LV------;0;3LV---------;3
26;-30.0;13.0;BALZONE;NL---------;Netherlands;Dutch Balancing zone;Dutch Balancing zone|21YNL----TTF---1;21YNL----TTF---1;NL-TSO-0001;Gasunie Transport Services B.V.;;0;3NL---------;3
27;36.0;0.66;BALZONE;PL---------;Poland H-gas;Polish High-methane gas Balancing zone;Polish High-methane gas Balancing zone|21Y000000000087V;21Y000000000087V;PL-TSO-0002;GAZ-SYSTEM S.A.;;0;3PL---------;3
28;41.0;13.0;BALZONE;PL-YAMAL---;TGPS (YAMAL);Polish Transit Gas Pipeline System;Polish Transit Gas Pipeline System|21Y000000000085Z;21Y000000000085Z;PL-TSO-0002;GAZ-SYSTEM S.A.;;0;3PL-YAMAL---;3
29;-111.0;-51.0;BALZONE;PT---------;Portugal;Portuguese Balancing Zone;Portuguese Balancing Zone|16ZVTP---------N;16ZVTP---------N;PT-TSO-0001;REN - Gasodutos, S.A.;;0;3PT---------;3
30;63.0;-38.0;BALZONE;RO---------;RO_NTS;Romanian National Transmission System Balancing Zone;Romanian National Transmission System Balancing Zone|60Y000000000001I;60Y000000000001I;RO-TSO-0001;SNTGN Transgaz S.A.;;0;3RO---------;3
31;80.0;-40.0;BALZONE;RO-TBP-----;RO_DTS;Romanian Dedicated Transmission System (Transit);Romanian Dedicated Transmission System (Transit)|60Y000000000002G;60Y000000000002G;RO-TSO-0001;SNTGN Transgaz S.A.;;0;3RO-TBP-----;3
32;0.0;0.0;BALZONE;SE---------;Sweden;Swedish Balancing Zone;Swedish Balancing Zone|21Y000000000125C;21Y000000000125C;SE-TSO-0001;Swedegas AB;DK-SE-------;0;3SE---------;3
33;9.0;-33.0;BALZONE;SI---------;Slovenia;Slovenian Balancing Zone;Slovenian Balancing Zone|21Z0000000004693;21Z0000000004693;SI-TSO-0001;Plinovodi d.o.o.;;0;3SI---------;3
34;34.0;-15.0;BALZONE;SK---------;Slovakia;Slovakian Balancing Zone;Slovakian Balancing Zone|21Y000000000103M;21Y000000000103M;SK-TSO-0001;eustream, a.s.;;0;3SK---------;3
35;-59.0;23.0;BALZONE;UK---------;UK;British Balancing Zone;British Balancing Zone|21YGB-UKGASGRIDW;21YGB-UKGASGRIDW;UK-TSO-0001;National Grid Gas plc;;0;3UK---------;3
36;-43.0;17.0;BALZONE;UK-IUK-----;IUK;Interconnector IUK;Interconnector IUK|55YIUKCONNECTOR4;55YIUKCONNECTOR4;UK-TSO-0003;Interconnector;;0;3UK-IUK-----;3
