;point_key;point_label;is_single_operator;point_tooltip;point_eic_code;control_point_type;tp_map_x;tp_map_y;point_type;commercial_type;import_from_country_key;import_from_country_label;has_virtual_point;virtual_point_key;virtual_point_label;has_data;is_planned;is_interconnection;is_import;infrastructure_key;infrastructure_label;is_cross_border;eu_crossing;is_invalid;is_macro_point;is_c_a_m_relevant;is_pipe_in_pipe;is_c_m_p_relevant;id;data_set
0;DIS-00001;Distribution (PT);0;;;O_P_INCOUN_IN_DIS;-117.42;-51.81;Distribution Point;Physical;;;False;;;True;False;True;False;DIS;Distribution;False;EU;False;;False;False;False;2DIS-00001;2
1;DIS-00002;Distribution (PL);0;;53ZPL0000109001C;O_V_INCOUN_IN_DIS;40.08;1.71;Distribution Point;Virtual;;;False;;;True;False;True;False;DIS;Distribution;False;EU;False;;False;False;False;2DIS-00002;2
2;DIS-00005;Distribution (IT);0;;21Y0000000000581;O_P_INCOUN_IN_DIS;-3.0;-47.5;Distribution Point;Physical;;;False;;;True;False;True;False;DIS;Distribution;False;EU;False;;False;False;False;2DIS-00005;2
3;DIS-00013;Aggregated Distribution - H-gas (PL);0;;21Y0000000000670;O_P_INCOUN_IN_DIS;38.14;4.39;Distribution Point;Physical;;;False;;;True;False;True;False;DIS;Distribution;False;EU;False;;False;False;False;2DIS-00013;2
4;DIS-00015;Greater Belfast;0;;21Y0000000000492;O_P_INCOUN_IN_DIS;-77.21;39.23;Distribution Point;Physical;;;False;;;True;False;True;False;DIS;Distribution;False;EU;False;;False;False;False;2DIS-00015;2
5;DIS-00016;Lisburn;0;;21Z0000000003956;O_P_INCOUN_IN_DIS;-78.22;38.38;Distribution Point;Physical;;;False;;;True;False;True;False;DIS;Distribution;False;EU;False;;False;False;False;2DIS-00016;2
6;DIS-00017;PTL Stranraer;0;;21Z0000000003948;O_P_INCOUN_IN_DIS;-73.48;41.01;Distribution Point;Physical;;;False;;;True;False;True;False;DIS;Distribution;False;EU;False;;False;False;False;2DIS-00017;2
7;DIS-00018;Agioi Theodoroi;0;;21Z000000000403X;O_P_INCOUN_IN_DIS;54.62;-68.19;Distribution Point;Physical;;;False;;;True;False;True;False;DIS;Distribution;False;EU;False;;False;False;False;2DIS-00018;2
8;DIS-00019;Alexandroupolis;0;;21Z000000000438E;O_P_INCOUN_IN_DIS;68.07;-59.04;Distribution Point;Physical;;;False;;;True;False;True;False;DIS;Distribution;False;EU;False;;False;False;False;2DIS-00019;2
9;DIS-00020;Aliveri (PPC);0;;21Z000000000434M;O_P_INCOUN_IN_FNC;59.72;-66.9;Aggregated Point - Final Consumers;Physical;;;False;;;True;False;True;False;FNC;Final Consumers;False;EU;False;;False;False;False;2DIS-00020;2
