;point_key;point_label;is_single_operator;point_tp_map_x;point_tp_map_y;from_system_label;from_infrastructure_type_label;from_country_key;from_country_label;from_bz_key;from_bz_label;from_bz_label_long;from_operator_key;from_operator_label;from_operator_long_label;from_point_key;from_point_label;from_is_c_a_m;from_is_c_m_p;from_booking_platform_key;from_booking_platform_label;from_booking_platform_u_r_l;to_is_c_a_m;to_is_c_m_p;to_booking_platform_key;to_booking_platform_label;to_booking_platform_u_r_l;from_tso_item_identifier;from_tso_point_label;from_direction_key;from_has_data;to_system_label;to_infrastructure_type_label;to_country_key;to_country_label;to_bz_key;to_bz_label;to_bz_label_long;to_operator_key;to_operator_label;to_operator_long_label;to_point_key;to_point_label;to_direction_key;to_has_data;to_tso_item_identifier;to_tso_point_label;valid_from;validto;last_update_date_time;is_invalid;entry_tp_ne_mo_usage;exit_tp_ne_mo_usage;id;data_set
0;DIS-00001;Distribution (PT);False;-117.42;-51.81;Portugal;Transmission;PT;Portugal;PT---------;Portugal;Portuguese Balancing Zone;PT-TSO-0001;REN;REN - Gasodutos, S.A.;DIS-00001;Distribution offtakes;False;False;;;;;;;;;16ZORDGN-------W;;exit;True;Distribution;Distribution;PT;Portugal;;;;;;;;;;False;;;;;Jan 10 2022  4:36PM;False;;Both;4InterconnectionsDIS-00001PortugalPT-TSO-0001DIS-00001exitDistribution;4
1;DIS-00005;Distribution (IT);False;-3.0;-47.5;Italy;Transmission;IT;Italy;IT---------;Italy;Punto Scambio Virtuale;IT-TSO-0001;SNAM RETE GAS;Snam Rete Gas S.p.A.;DIS-00005;SRG DELIVERY TO DISTRIBUTION NETWORKS;False;False;;;;;;;;;21Y0000000000581;;exit;True;Distribution;Distribution;IT;Italy;;;;;;;;;;False;;;;;Jan 10 2022  4:36PM;False;;Both;4InterconnectionsDIS-00005ItalyIT-TSO-0001DIS-00005exitDistribution;4
2;DIS-00015;Greater Belfast;False;-77.21;39.23;NI;Transmission;UK;United Kingdom;UK-NI------;NI;Northern Ireland Balancing Zone;UK-TSO-0002;PTL;Premier Transmission Ltd;DIS-00015;GREATER BELFAST;;;;;;;;;;;21Y0000000000492;;exit;True;Distribution;Distribution;UK;United Kingdom;;;;;;;;;;False;;;;;Jan 10 2022  4:36PM;False;;Both;4InterconnectionsDIS-00015NIUK-TSO-0002DIS-00015exitDistribution;4
3;DIS-00016;Lisburn;False;-78.22;38.38;NI;Transmission;UK;United Kingdom;UK-NI------;NI;Northern Ireland Balancing Zone;UK-TSO-0002;PTL;Premier Transmission Ltd;DIS-00016;Lisburn;;;;;;;;;;;21Z0000000003956;;exit;True;Distribution;Distribution;UK;United Kingdom;;;;;;;;;;False;;;;;Jan 10 2022  4:36PM;False;;Both;4InterconnectionsDIS-00016NIUK-TSO-0002DIS-00016exitDistribution;4
4;DIS-00017;PTL Stranraer;False;-73.48;41.01;NI;Transmission;UK;United Kingdom;UK-NI------;NI;Northern Ireland Balancing Zone;UK-TSO-0002;PTL;Premier Transmission Ltd;DIS-00017;STRANRAER-NI;;;;;;;;;;;21Z0000000003948;;exit;True;Distribution;Distribution;UK;United Kingdom;;;;;;;;;;False;;;;;Jan 10 2022  4:36PM;False;;Both;4InterconnectionsDIS-00017NIUK-TSO-0002DIS-00017exitDistribution;4
5;DIS-00018;Agioi Theodoroi;False;54.62;-68.19;Greece;Transmission;GR;Greece;GR---------;Greece;Greek Balancing Zone;GR-TSO-0001;DESFA S.A.;DESFA S.A.;DIS-00018;Agioi Theodoroi;False;False;;;;;;;;;21Z000000000403X;;exit;True;Distribution;Distribution;GR;Greece;;;;;;;;;;False;;;;;Jan 10 2022  4:36PM;False;;Both;4InterconnectionsDIS-00018GreeceGR-TSO-0001DIS-00018exitDistribution;4
6;DIS-00019;Alexandroupolis;False;68.07;-59.04;Greece;Transmission;GR;Greece;GR---------;Greece;Greek Balancing Zone;GR-TSO-0001;DESFA S.A.;DESFA S.A.;DIS-00019;Alexandroupolis;False;False;;;;;;;;;21Z000000000438E;;exit;True;Distribution;Distribution;GR;Greece;;;;;;;;;;False;;;;;Jan 10 2022  4:36PM;False;;Both;4InterconnectionsDIS-00019GreeceGR-TSO-0001DIS-00019exitDistribution;4
7;DIS-00020;Aliveri (PPC);False;59.72;-66.9;Greece;Transmission;GR;Greece;GR---------;Greece;Greek Balancing Zone;GR-TSO-0001;DESFA S.A.;DESFA S.A.;DIS-00020;Aliveri (PPC);False;False;;;;;;;;;21Z000000000434M;;exit;True;Final Consumers;Final Consumers;GR;Greece;;;;;;;;;;False;;;;;Jan 10 2022  4:36PM;False;;Both;4InterconnectionsDIS-00020GreeceGR-TSO-0001DIS-00020exitFinal Consumers;4
8;DIS-00021;Aloyminion;False;51.86;-67.17;Greece;Transmission;GR;Greece;GR---------;Greece;Greek Balancing Zone;GR-TSO-0001;DESFA S.A.;DESFA S.A.;DIS-00021;Aloyminion;False;False;;;;;;;;;21Z000000000442N;;exit;True;Final Consumers;Final Consumers;GR;Greece;;;;;;;;;;False;;;;;Jan 10 2022  4:36PM;False;;Both;4InterconnectionsDIS-00021GreeceGR-TSO-0001DIS-00021exitFinal Consumers;4
9;DIS-00022;Aloyminion II;False;51.86;-67.17;Greece;Transmission;GR;Greece;GR---------;Greece;Greek Balancing Zone;GR-TSO-0001;DESFA S.A.;DESFA S.A.;DIS-00022;Aloyminion II;False;False;;;;;;;;;21Z000000000441P;;exit;True;Final Consumers;Final Consumers;GR;Greece;;;;;;;;;;False;;;;;Jan 10 2022  4:36PM;False;;Both;4InterconnectionsDIS-00022GreeceGR-TSO-0001DIS-00022exitFinal Consumers;4
