;capacity_booking_status;capacity_commercial_type;capacity_type;data_set;direction_key;flow_status;general_remarks;id;indicator;interruption_type;is_cam_relevant;is_n_a;is_unlimited;item_remarks;last_update_date_time;operator_key;operator_label;original_period_from;period_from;period_to;period_type;point_key;point_label;restoration_information;tso_eic_code;tso_item_identifier;unit;value
0;;Booked;Interruptible;5;entry;;;52017-01-01 03:00:00 +00:002019-01-01 03:00:00 +00:0021X-BE-A-A0A0A-YBE-TSO-0001FNC-00035entryActualInterruptibleBookedkWh/d;;Actual;;;;No actual interruptions of Interruptible capacity;2018-01-22T11:32:31+01:00;BE-TSO-0001;Fluxys Belgium;;2017-01-01T04:00:00+01:00;2019-01-01T04:00:00+01:00;;FNC-00035;Final consumers (BE) (Fluxys) Power Plants H-zone;;21X-BE-A-A0A0A-Y;21Y000000000044C;kWh/d;
1;;Booked;Interruptible;5;entry;;;52017-01-01 03:00:00 +00:002019-01-01 03:00:00 +00:0021X-BE-A-A0A0A-YBE-TSO-0001FNC-00035entryPlannedInterruptibleBookedkWh/d;;Planned;;;;No planned interruption of Interruptible capacity;2018-01-22T11:32:31+01:00;BE-TSO-0001;Fluxys Belgium;;2017-01-01T04:00:00+01:00;2019-01-01T04:00:00+01:00;;FNC-00035;Final consumers (BE) (Fluxys) Power Plants H-zone;;21X-BE-A-A0A0A-Y;21Y000000000044C;kWh/d;
2;;N/A;Interruptible;5;entry;;;52017-01-01 03:00:00 +00:002019-01-01 03:00:00 +00:0021X-BE-A-A0A0A-YBE-TSO-0001FNC-00035entryActualInterruptibleN/AkWh/d;;Actual;;;;No actual interruptions of Interruptible capacity;2018-01-22T11:32:31+01:00;BE-TSO-0001;Fluxys Belgium;;2017-01-01T04:00:00+01:00;2019-01-01T04:00:00+01:00;;FNC-00035;Final consumers (BE) (Fluxys) Power Plants H-zone;;21X-BE-A-A0A0A-Y;21Y000000000044C;kWh/d;0.0
3;;N/A;Interruptible;5;entry;;;52017-01-01 03:00:00 +00:002019-01-01 03:00:00 +00:0021X-BE-A-A0A0A-YBE-TSO-0001FNC-00035entryPlannedInterruptibleN/AkWh/d;;Planned;;;;No planned interruption of Interruptible capacity;2018-01-22T11:32:31+01:00;BE-TSO-0001;Fluxys Belgium;;2017-01-01T04:00:00+01:00;2019-01-01T04:00:00+01:00;;FNC-00035;Final consumers (BE) (Fluxys) Power Plants H-zone;;21X-BE-A-A0A0A-Y;21Y000000000044C;kWh/d;0.0
4;;Booked;Interruptible;5;exit;;;52017-01-01 03:00:00 +00:002019-01-01 03:00:00 +00:0021X-BE-A-A0A0A-YBE-TSO-0001FNC-00035exitActualInterruptibleBookedkWh/d;;Actual;;;;No actual interruptions of Interruptible capacity;2018-01-22T11:32:31+01:00;BE-TSO-0001;Fluxys Belgium;;2017-01-01T04:00:00+01:00;2019-01-01T04:00:00+01:00;;FNC-00035;Final consumers (BE) (Fluxys) Power Plants H-zone;;21X-BE-A-A0A0A-Y;21Y000000000044C;kWh/d;
5;;Booked;Interruptible;5;exit;;;52017-01-01 03:00:00 +00:002019-01-01 03:00:00 +00:0021X-BE-A-A0A0A-YBE-TSO-0001FNC-00035exitPlannedInterruptibleBookedkWh/d;;Planned;;;;No planned interruption of Interruptible capacity;2018-01-22T11:32:31+01:00;BE-TSO-0001;Fluxys Belgium;;2017-01-01T04:00:00+01:00;2019-01-01T04:00:00+01:00;;FNC-00035;Final consumers (BE) (Fluxys) Power Plants H-zone;;21X-BE-A-A0A0A-Y;21Y000000000044C;kWh/d;
6;;N/A;Interruptible;5;exit;;;52017-01-01 03:00:00 +00:002019-01-01 03:00:00 +00:0021X-BE-A-A0A0A-YBE-TSO-0001FNC-00035exitActualInterruptibleN/AkWh/d;;Actual;;;;No actual interruptions of Interruptible capacity;2018-01-22T11:32:31+01:00;BE-TSO-0001;Fluxys Belgium;;2017-01-01T04:00:00+01:00;2019-01-01T04:00:00+01:00;;FNC-00035;Final consumers (BE) (Fluxys) Power Plants H-zone;;21X-BE-A-A0A0A-Y;21Y000000000044C;kWh/d;0.0
7;;N/A;Interruptible;5;exit;;;52017-01-01 03:00:00 +00:002019-01-01 03:00:00 +00:0021X-BE-A-A0A0A-YBE-TSO-0001FNC-00035exitPlannedInterruptibleN/AkWh/d;;Planned;;;;No planned interruption of Interruptible capacity;2018-01-22T11:32:31+01:00;BE-TSO-0001;Fluxys Belgium;;2017-01-01T04:00:00+01:00;2019-01-01T04:00:00+01:00;;FNC-00035;Final consumers (BE) (Fluxys) Power Plants H-zone;;21X-BE-A-A0A0A-Y;21Y000000000044C;kWh/d;0.0
8;;Booked;Interruptible;5;entry;;;52017-01-01 03:00:00 +00:002019-01-01 03:00:00 +00:0021X-BE-A-A0A0A-YBE-TSO-0001FNC-00035entryActualInterruptibleBookedkWh/h;;Actual;;;;No actual interruptions of Interruptible capacity;2018-01-22T11:32:31+01:00;BE-TSO-0001;Fluxys Belgium;;2017-01-01T04:00:00+01:00;2019-01-01T04:00:00+01:00;;FNC-00035;Final consumers (BE) (Fluxys) Power Plants H-zone;;21X-BE-A-A0A0A-Y;21Y000000000044C;kWh/h;
9;;Booked;Interruptible;5;entry;;;52017-01-01 03:00:00 +00:002019-01-01 03:00:00 +00:0021X-BE-A-A0A0A-YBE-TSO-0001FNC-00035entryPlannedInterruptibleBookedkWh/h;;Planned;;;;No planned interruption of Interruptible capacity;2018-01-22T11:32:31+01:00;BE-TSO-0001;Fluxys Belgium;;2017-01-01T04:00:00+01:00;2019-01-01T04:00:00+01:00;;FNC-00035;Final consumers (BE) (Fluxys) Power Plants H-zone;;21X-BE-A-A0A0A-Y;21Y000000000044C;kWh/h;
10;;N/A;Interruptible;5;entry;;;52017-01-01 03:00:00 +00:002019-01-01 03:00:00 +00:0021X-BE-A-A0A0A-YBE-TSO-0001FNC-00035entryActualInterruptibleN/AkWh/h;;Actual;;;;No actual interruptions of Interruptible capacity;2018-01-22T11:32:31+01:00;BE-TSO-0001;Fluxys Belgium;;2017-01-01T04:00:00+01:00;2019-01-01T04:00:00+01:00;;FNC-00035;Final consumers (BE) (Fluxys) Power Plants H-zone;;21X-BE-A-A0A0A-Y;21Y000000000044C;kWh/h;0.0
11;;N/A;Interruptible;5;entry;;;52017-01-01 03:00:00 +00:002019-01-01 03:00:00 +00:0021X-BE-A-A0A0A-YBE-TSO-0001FNC-00035entryPlannedInterruptibleN/AkWh/h;;Planned;;;;No planned interruption of Interruptible capacity;2018-01-22T11:32:31+01:00;BE-TSO-0001;Fluxys Belgium;;2017-01-01T04:00:00+01:00;2019-01-01T04:00:00+01:00;;FNC-00035;Final consumers (BE) (Fluxys) Power Plants H-zone;;21X-BE-A-A0A0A-Y;21Y000000000044C;kWh/h;0.0
12;;Booked;Interruptible;5;exit;;;52017-01-01 03:00:00 +00:002019-01-01 03:00:00 +00:0021X-BE-A-A0A0A-YBE-TSO-0001FNC-00035exitActualInterruptibleBookedkWh/h;;Actual;;;;No actual interruptions of Interruptible capacity;2018-01-22T11:32:31+01:00;BE-TSO-0001;Fluxys Belgium;;2017-01-01T04:00:00+01:00;2019-01-01T04:00:00+01:00;;FNC-00035;Final consumers (BE) (Fluxys) Power Plants H-zone;;21X-BE-A-A0A0A-Y;21Y000000000044C;kWh/h;
