;capacity_booking_status;capacity_commercial_type;capacity_type;data_set;direction_key;flow_status;general_remarks;id;indicator;interruption_type;is_cam_relevant;is_n_a;is_unlimited;item_remarks;last_update_date_time;operator_key;operator_label;original_period_from;period_from;period_to;period_type;point_key;point_label;restoration_information;tso_eic_code;tso_item_identifier;unit;value
0;;Booked;Interruptible;5;entry;;;52017-01-01 03:00:00 +00:002019-01-01 03:00:00 +00:0021X0000000012388DE-TSO-0018ITP-00297entryActualInterruptibleBookedkWh/d;;Actual;;;;No actual interruptions of Interruptible capacity;2018-02-07T11:46:41+01:00;DE-TSO-0018;Fluxys Deutschland;;2017-01-01T04:00:00+01:00;2019-01-01T04:00:00+01:00;;ITP-00297;Greifswald / Fluxys Deutschland;;21X0000000012388;21Z000000000255M;kWh/d;
1;;Booked;Interruptible;5;entry;;;52017-01-01 03:00:00 +00:002019-01-01 03:00:00 +00:0021X0000000012388DE-TSO-0018ITP-00297entryPlannedInterruptibleBookedkWh/d;;Planned;;;;No planned interruption of Interruptible capacity;2018-02-07T11:46:41+01:00;DE-TSO-0018;Fluxys Deutschland;;2017-01-01T04:00:00+01:00;2019-01-01T04:00:00+01:00;;ITP-00297;Greifswald / Fluxys Deutschland;;21X0000000012388;21Z000000000255M;kWh/d;
2;;N/A;Interruptible;5;entry;;;52017-01-01 03:00:00 +00:002019-01-01 03:00:00 +00:0021X0000000012388DE-TSO-0018ITP-00297entryActualInterruptibleN/AkWh/d;;Actual;;;;No actual interruptions of Interruptible capacity;2018-02-07T11:46:41+01:00;DE-TSO-0018;Fluxys Deutschland;;2017-01-01T04:00:00+01:00;2019-01-01T04:00:00+01:00;;ITP-00297;Greifswald / Fluxys Deutschland;;21X0000000012388;21Z000000000255M;kWh/d;0.0
3;;N/A;Interruptible;5;entry;;;52017-01-01 03:00:00 +00:002019-01-01 03:00:00 +00:0021X0000000012388DE-TSO-0018ITP-00297entryPlannedInterruptibleN/AkWh/d;;Planned;;;;No planned interruption of Interruptible capacity;2018-02-07T11:46:41+01:00;DE-TSO-0018;Fluxys Deutschland;;2017-01-01T04:00:00+01:00;2019-01-01T04:00:00+01:00;;ITP-00297;Greifswald / Fluxys Deutschland;;21X0000000012388;21Z000000000255M;kWh/d;0.0
4;;Booked;Interruptible;5;entry;;;52017-01-01 03:00:00 +00:002019-01-01 03:00:00 +00:0021X0000000012388DE-TSO-0018ITP-00297entryActualInterruptibleBookedkWh/h;;Actual;;;;No actual interruptions of Interruptible capacity;2018-02-07T11:46:41+01:00;DE-TSO-0018;Fluxys Deutschland;;2017-01-01T04:00:00+01:00;2019-01-01T04:00:00+01:00;;ITP-00297;Greifswald / Fluxys Deutschland;;21X0000000012388;21Z000000000255M;kWh/h;
5;;Booked;Interruptible;5;entry;;;52017-01-01 03:00:00 +00:002019-01-01 03:00:00 +00:0021X0000000012388DE-TSO-0018ITP-00297entryPlannedInterruptibleBookedkWh/h;;Planned;;;;No planned interruption of Interruptible capacity;2018-02-07T11:46:41+01:00;DE-TSO-0018;Fluxys Deutschland;;2017-01-01T04:00:00+01:00;2019-01-01T04:00:00+01:00;;ITP-00297;Greifswald / Fluxys Deutschland;;21X0000000012388;21Z000000000255M;kWh/h;
6;;N/A;Interruptible;5;entry;;;52017-01-01 03:00:00 +00:002019-01-01 03:00:00 +00:0021X0000000012388DE-TSO-0018ITP-00297entryActualInterruptibleN/AkWh/h;;Actual;;;;No actual interruptions of Interruptible capacity;2018-02-07T11:46:41+01:00;DE-TSO-0018;Fluxys Deutschland;;2017-01-01T04:00:00+01:00;2019-01-01T04:00:00+01:00;;ITP-00297;Greifswald / Fluxys Deutschland;;21X0000000012388;21Z000000000255M;kWh/h;0.0
7;;N/A;Interruptible;5;entry;;;52017-01-01 03:00:00 +00:002019-01-01 03:00:00 +00:0021X0000000012388DE-TSO-0018ITP-00297entryPlannedInterruptibleN/AkWh/h;;Planned;;;;No planned interruption of Interruptible capacity;2018-02-07T11:46:41+01:00;DE-TSO-0018;Fluxys Deutschland;;2017-01-01T04:00:00+01:00;2019-01-01T04:00:00+01:00;;ITP-00297;Greifswald / Fluxys Deutschland;;21X0000000012388;21Z000000000255M;kWh/h;0.0
8;;Booked;Firm;5;entry;;;52017-01-01 03:00:00 +00:002019-01-01 03:00:00 +00:0021X0000000012388DE-TSO-0018ITP-00297entryPlannedFirmBookedkWh/d;;Planned;;;;No planned interruption of Firm capacity;2018-02-07T11:46:41+01:00;DE-TSO-0018;Fluxys Deutschland;;2017-01-01T04:00:00+01:00;2019-01-01T04:00:00+01:00;;ITP-00297;Greifswald / Fluxys Deutschland;No planned interruption foreseen;21X0000000012388;21Z000000000255M;kWh/d;
9;;Booked;Firm;5;entry;;;52017-01-01 03:00:00 +00:002019-01-01 03:00:00 +00:0021X0000000012388DE-TSO-0018ITP-00297entryUnplannedFirmBookedkWh/d;;Unplanned;;;;No unplanned interruption of Firm capacity;2018-02-07T11:46:41+01:00;DE-TSO-0018;Fluxys Deutschland;;2017-01-01T04:00:00+01:00;2019-01-01T04:00:00+01:00;;ITP-00297;Greifswald / Fluxys Deutschland;No unplanned interruption;21X0000000012388;21Z000000000255M;kWh/d;
