;booking_platform_key;booking_platform_label;booking_platform_u_r_l;capacity_booking_status;capacity_type;data_set;direction_key;flow_status;general_remarks;id;id_point_type;indicator;interruption_calculation_remark;interruption_type;is_archived;is_cam_relevant;is_cmp_relevant;is_n_a;is_unlimited;item_remarks;last_update_date_time;operator_key;operator_label;original_period_from;period_from;period_to;period_type;point_key;point_label;point_type;restoration_information;tso_eic_code;tso_item_identifier;unit;value
0;;;;;;1;entry;Confirmed;;1Allocationday2018-01-012018-01-02BE-TSO-0001FNC-00035entrykWh/d;18.0;Allocation;;;False;;;;;;2021-01-15T19:58:59+01:00;BE-TSO-0001;Fluxys Belgium;;2018-01-01T06:00:00+01:00;2018-01-02T06:00:00+01:00;day;FNC-00035;Final consumers (BE) (Fluxys) Power Plants H-zone;Aggregated Point - Final Consumers;;21X-BE-A-A0A0A-Y;21Y000000000044C;kWh/d;0
1;;;;;;1;exit;Confirmed;;1Allocationday2018-01-012018-01-02BE-TSO-0001FNC-00035exitkWh/d;18.0;Allocation;;;False;;;;;;2021-01-15T19:59:15+01:00;BE-TSO-0001;Fluxys Belgium;;2018-01-01T06:00:00+01:00;2018-01-02T06:00:00+01:00;day;FNC-00035;Final consumers (BE) (Fluxys) Power Plants H-zone;Aggregated Point - Final Consumers;;21X-BE-A-A0A0A-Y;21Y000000000044C;kWh/d;75865298
2;;;;;;1;entry;Confirmed;;1Allocationday2018-01-012018-01-02BE-TSO-0001FNC-00034entrykWh/d;18.0;Allocation;;;False;;;;;;2021-01-15T19:59:52+01:00;BE-TSO-0001;Fluxys Belgium;;2018-01-01T06:00:00+01:00;2018-01-02T06:00:00+01:00;day;FNC-00034;Final consumers (BE) (Fluxys) Industrial clients L-zone;Aggregated Point - Final Consumers;;21X-BE-A-A0A0A-Y;21Y000000000045A;kWh/d;0
3;;;;;;1;exit;Confirmed;;1Allocationday2018-01-012018-01-02BE-TSO-0001FNC-00034exitkWh/d;18.0;Allocation;;;False;;;;;;2021-01-15T21:11:57+01:00;BE-TSO-0001;Fluxys Belgium;;2018-01-01T06:00:00+01:00;2018-01-02T06:00:00+01:00;day;FNC-00034;Final consumers (BE) (Fluxys) Industrial clients L-zone;Aggregated Point - Final Consumers;;21X-BE-A-A0A0A-Y;21Y000000000045A;kWh/d;10252083
4;;;;;;1;entry;Confirmed;;1Allocationday2018-01-012018-01-02BE-TSO-0001FNC-00033entrykWh/d;18.0;Allocation;;;False;;;;;;2021-01-15T20:03:22+01:00;BE-TSO-0001;Fluxys Belgium;;2018-01-01T06:00:00+01:00;2018-01-02T06:00:00+01:00;day;FNC-00033;Final consumers (BE) (Fluxys) Industrial clients H-zone;Aggregated Point - Final Consumers;;21X-BE-A-A0A0A-Y;21Y0000000000468;kWh/d;0
5;;;;;;1;exit;Confirmed;;1Allocationday2018-01-012018-01-02BE-TSO-0001FNC-00033exitkWh/d;18.0;Allocation;;;False;;;;;;2021-01-15T20:03:09+01:00;BE-TSO-0001;Fluxys Belgium;;2018-01-01T06:00:00+01:00;2018-01-02T06:00:00+01:00;day;FNC-00033;Final consumers (BE) (Fluxys) Industrial clients H-zone;Aggregated Point - Final Consumers;;21X-BE-A-A0A0A-Y;21Y0000000000468;kWh/d;109043711
6;;;;;;1;entry;Confirmed;;1Allocationday2018-01-012018-01-02BE-TSO-0001DIS-00192entrykWh/d;17.0;Allocation;;;False;;;;;;2021-01-15T20:06:37+01:00;BE-TSO-0001;Fluxys Belgium;;2018-01-01T06:00:00+01:00;2018-01-02T06:00:00+01:00;day;DIS-00192;Distribution (BE) L-zone;Distribution Point;;21X-BE-A-A0A0A-Y;21Y0000000000476;kWh/d;0
7;;;;;;1;exit;Confirmed;;1Allocationday2018-01-012018-01-02BE-TSO-0001DIS-00192exitkWh/d;17.0;Allocation;;;False;;;;;;2021-01-15T20:08:11+01:00;BE-TSO-0001;Fluxys Belgium;;2018-01-01T06:00:00+01:00;2018-01-02T06:00:00+01:00;day;DIS-00192;Distribution (BE) L-zone;Distribution Point;;21X-BE-A-A0A0A-Y;21Y0000000000476;kWh/d;173197823
8;;;;;;1;entry;Confirmed;;1Allocationday2018-01-012018-01-02BE-TSO-0001DIS-00191entrykWh/d;17.0;Allocation;;;False;;;;;;2021-01-15T20:03:33+01:00;BE-TSO-0001;Fluxys Belgium;;2018-01-01T06:00:00+01:00;2018-01-02T06:00:00+01:00;day;DIS-00191;Distribution (BE) H-zone;Distribution Point;;21X-BE-A-A0A0A-Y;21Y0000000000484;kWh/d;0
9;;;;;;1;exit;Confirmed;;1Allocationday2018-01-012018-01-02BE-TSO-0001DIS-00191exitkWh/d;17.0;Allocation;;;False;;;;;;2021-01-15T20:09:29+01:00;BE-TSO-0001;Fluxys Belgium;;2018-01-01T06:00:00+01:00;2018-01-02T06:00:00+01:00;day;DIS-00191;Distribution (BE) H-zone;Distribution Point;;21X-BE-A-A0A0A-Y;21Y0000000000484;kWh/d;185735593
