;applicable_commodity_tariff_e_u_r_o;applicable_commodity_tariff_local_currency;applicable_commodity_tariff_remarks;applicable_tariff_in_common_unit_remarks;applicable_tariff_in_common_unit_unit;applicable_tariff_in_common_unit_value;applicable_tariff_per_e_u_r_k_wh_d_unit;applicable_tariff_per_e_u_r_k_wh_d_value;applicable_tariff_per_e_u_r_k_wh_h_unit;applicable_tariff_per_e_u_r_k_wh_h_value;applicable_tariff_per_local_currency_k_wh_d_unit;applicable_tariff_per_local_currency_k_wh_d_value;applicable_tariff_per_local_currency_k_wh_h_unit;applicable_tariff_per_local_currency_k_wh_h_value;applicable_tariff_remarks;capacity_booking_status;capacity_type;connection;connection_remarks;country_code;data_set;direction;direction_key;discount_for_interruptible_capacity_remarks;discount_for_interruptible_capacity_value;display_order;exchange_rate_reference_date;flow_status;from_b_z;general_remarks;id;id_point_type;indicator;interruption_type;is_archived;is_unlimited;item_remarks;last_update_date_time;multiplier;multiplier_factor_remarks;operator;operator_currency;operator_key;operator_label;operator_point_direction;period_from;period_to;period_type;point_key;point_label;point_type;product_period_from;product_period_to;product_type;remarks;restoration_information;seasonal_factor;seasonal_factor_remarks;tariff_capacity_type;tariff_capacity_unit;tariff_period_remarks;to_b_z;tso_eic_code;tso_item_identifier;unit;value
0;N/A;N/A;only physical exit flow;only physical exit flow;Euro/(kWh/h)/d;N/A;Euro/(kWh/d)/y;N/A;Euro/(kWh/h)/y;N/A;EUR/(kWh/d)/y;N/A;EUR/(kWh/h)/y;N/A;only physical exit flow;;; GRTgaz -> Fluxys Belgium;;BE;1;;entry;;N/A;1;N/A;;TRF;;121Z000000000011DFirmYearlyBE-TSO-0001ITP-00115entry2018-01-01T05:00:00+00:00__2018-01-01T05:00:00+00:00__2019-01-01T05:00:00+00:00;0;;;False;;;2020-12-28T09:36:50+01:00;N/A;only physical exit flow;Fluxys Belgium;EUR;BE-TSO-0001;;be-tso-0001itp-00115entry;2018-01-01T06:00:00+01:00;2019-01-01T06:00:00+01:00;;ITP-00115;Blaregnies L (BE) / Taisnières B (FR);CB_ITP_EU;2018-01-01T06:00:00+01:00;2019-01-01T06:00:00+01:00;Yearly;;;N/A;only physical exit flow;Firm;kWh/h;;L-Zone;21X-BE-A-A0A0A-Y;21Z000000000011D;;
1;0.00001349;0.00001349;The applicable commodity tariff is 0.080% of the allocated quantities at the IP for each hour valued based on the ZTP Day Ahead Index as published by Powernext.The published tariff here has been valued based on the average ZTP Day Ahead Index of the last 12 month.;;Euro/(kWh/h)/d;0.00200548;Euro/(kWh/d)/y;0.0305;Euro/(kWh/h)/y;0.732;EUR/(kWh/d)/y;0.0305;EUR/(kWh/h)/y;0.732;;;; Zebra Pijpleiding -> Fluxys Belgium, GTS -> Fluxys Belgium;;BE;1;;entry;;N/A;1;N/A;;Netherlands;;121Z0000000001062FirmYearlyBE-TSO-0001ITP-00088entry2018-01-01T05:00:00+00:00__2018-01-01T05:00:00+00:00__2019-01-01T05:00:00+00:00;0;;;False;;;2020-12-28T09:36:50+01:00;N/A;;Fluxys Belgium;EUR;BE-TSO-0001;;be-tso-0001itp-00088entry;2018-01-01T06:00:00+01:00;2019-01-01T06:00:00+01:00;;ITP-00088;Zandvliet H-gas;CB_ITP_EU;2018-01-01T06:00:00+01:00;2019-01-01T06:00:00+01:00;Yearly;;;N/A;;Firm;kWh/h;;BeLux;21X-BE-A-A0A0A-Y;21Z0000000001062;;
2;0.00001349;0.00001349;The applicable commodity tariff is 0.080% of the allocated quantities at the IP for each hour valued based on the ZTP Day Ahead Index as published by Powernext.The published tariff here has been valued based on the average ZTP Day Ahead Index of the last 12 month.;;Euro/(kWh/h)/d;0.00200548;Euro/(kWh/d)/y;0.0305;Euro/(kWh/h)/y;0.732;EUR/(kWh/d)/y;0.0305;EUR/(kWh/h)/y;0.732;;;; GRTgaz -> Fluxys Belgium;;BE;1;;entry;;N/A;1;N/A;;PEG North;;121Z000000000012BFirmYearlyBE-TSO-0001ITP-00114entry2018-01-01T05:00:00+00:00__2018-01-01T05:00:00+00:00__2019-01-01T05:00:00+00:00;0;;;False;;;2020-12-28T09:36:50+01:00;N/A;;Fluxys Belgium;EUR;BE-TSO-0001;;be-tso-0001itp-00114entry;2018-01-01T06:00:00+01:00;2019-01-01T06:00:00+01:00;;ITP-00114;Blaregnies (BE) / Taisnières (H) (FR) (Segeo);CB_ITP_EU;2018-01-01T06:00:00+01:00;2019-01-01T06:00:00+01:00;Yearly;;;N/A;;Firm;kWh/h;;BeLux;21X-BE-A-A0A0A-Y;21Z000000000012B;;
3;0.00001349;0.00001349;The applicable commodity tariff is 0.080% of the allocated quantities at the IP for each hour valued based on the ZTP Day Ahead Index as published by Powernext.The published tariff here has been valued based on the average ZTP Day Ahead Index of the last 12 month.;;Euro/(kWh/h)/d;0.00200548;Euro/(kWh/d)/y;0.0305;Euro/(kWh/h)/y;0.732;EUR/(kWh/d)/y;0.0305;EUR/(kWh/h)/y;0.732;;;; Zebra Pijpleiding -> Fluxys Belgium, GTS -> Fluxys Belgium;;BE;1;;entry;;N/A;1;N/A;;Netherlands;;121Z000000000019YFirmYearlyBE-TSO-0001ITP-00101entry2018-01-01T05:00:00+00:00__2018-01-01T05:00:00+00:00__2019-01-01T05:00:00+00:00;0;;;False;;;2020-12-28T09:36:50+01:00;N/A;;Fluxys Belgium;EUR;BE-TSO-0001;;be-tso-0001itp-00101entry;2018-01-01T06:00:00+01:00;2019-01-01T06:00:00+01:00;;ITP-00101;Zelzate;CB_ITP_EU;2018-01-01T06:00:00+01:00;2019-01-01T06:00:00+01:00;Yearly;;;N/A;;Firm;kWh/h;;BeLux;21X-BE-A-A0A0A-Y;21Z000000000019Y;;
4;0.00001349;0.00001349;The applicable commodity tariff is 0.080% of the allocated quantities at the IP for each hour valued based on the ZTP Day Ahead Index as published by Powernext.The published tariff here has been valued based on the average ZTP Day Ahead Index of the last 12 month.;;Euro/(kWh/h)/d;0.00200548;Euro/(kWh/d)/y;0.0305;Euro/(kWh/h)/y;0.732;EUR/(kWh/d)/y;0.0305;EUR/(kWh/h)/y;0.732;;;; GRTgaz -> Fluxys Belgium;;BE;1;;entry;;N/A;1;N/A;;PEG North;;121Z000000000359AFirmYearlyBE-TSO-0001LNG-00005entry2018-01-01T05:00:00+00:00__2018-01-01T05:00:00+00:00__2019-01-01T05:00:00+00:00;0;;;False;;;2020-12-28T09:36:50+01:00;N/A;;Fluxys Belgium;EUR;BE-TSO-0001;;be-tso-0001lng-00005entry;2018-01-01T06:00:00+01:00;2019-01-01T06:00:00+01:00;;LNG-00005;Alveringem;CB_ITP_EU;2018-01-01T06:00:00+01:00;2019-01-01T06:00:00+01:00;Yearly;;;N/A;;Firm;kWh/h;;BeLux;21X-BE-A-A0A0A-Y;21Z000000000359A;;
5;0.00001349;0.00001349;The applicable commodity tariff is 0.080% of the allocated quantities at the IP for each hour valued based on the ZTP Day Ahead Index as published by Powernext.The published tariff here has been valued based on the average ZTP Day Ahead Index of the last 12 month.;;Euro/(kWh/h)/d;0.00200548;Euro/(kWh/d)/y;0.0305;Euro/(kWh/h)/y;0.732;EUR/(kWh/d)/y;0.0305;EUR/(kWh/h)/y;0.732;;;;  -> Fluxys Belgium;;BE;1;;entry;;N/A;1;N/A;;BeLux;;121Z0000000000090FirmYearlyBE-TSO-0001VTP-00029entry2018-01-01T05:00:00+00:00__2018-01-01T05:00:00+00:00__2019-01-01T05:00:00+00:00;9;;;False;;;2020-12-28T09:36:50+01:00;N/A;;Fluxys Belgium;EUR;BE-TSO-0001;;be-tso-0001vtp-00029entry;2018-01-01T06:00:00+01:00;2019-01-01T06:00:00+01:00;;VTP-00029;Zeebrugge Beach;IN_VTP;2018-01-01T06:00:00+01:00;2019-01-01T06:00:00+01:00;Yearly;;;N/A;;Firm;kWh/h;;BeLux;21X-BE-A-A0A0A-Y;21Z0000000000090;;
6;0.00001349;0.00001349;The applicable commodity tariff is 0.080% of the allocated quantities at the IP for each hour valued based on the ZTP Day Ahead Index as published by Powernext.The published tariff here has been valued based on the average ZTP Day Ahead Index of the last 12 month.;;Euro/(kWh/h)/d;0.00200548;Euro/(kWh/d)/y;0.0305;Euro/(kWh/h)/y;0.732;EUR/(kWh/d)/y;0.0305;EUR/(kWh/h)/y;0.732;;;; GRTgaz -> Fluxys Belgium;;BE;1;;entry;;N/A;1;N/A;;PEG North;;121Z000000000010FFirmYearlyBE-TSO-0001ITP-00147entry2018-01-01T05:00:00+00:00__2018-01-01T05:00:00+00:00__2019-01-01T05:00:00+00:00;0;;;False;;;2020-12-28T09:36:50+01:00;N/A;;Fluxys Belgium;EUR;BE-TSO-0001;;be-tso-0001itp-00147entry;2018-01-01T06:00:00+01:00;2019-01-01T06:00:00+01:00;;ITP-00147;Blaregnies (H) (BE) / Taisnières (H) (FR) (Troll);CB_ITP_EU;2018-01-01T06:00:00+01:00;2019-01-01T06:00:00+01:00;Yearly;;;N/A;;Firm;kWh/h;;BeLux;21X-BE-A-A0A0A-Y;21Z000000000010F;;
7;0.00001349;0.00001349;The applicable commodity tariff is 0.080% of the allocated quantities at the IP for each hour valued based on the ZTP Day Ahead Index as published by Powernext.The published tariff here has been valued based on the average ZTP Day Ahead Index of the last 12 month.;;Euro/(kWh/h)/d;0.00200548;Euro/(kWh/d)/y;0.0305;Euro/(kWh/h)/y;0.732;EUR/(kWh/d)/y;0.0305;EUR/(kWh/h)/y;0.732;;;; Thyssengas -> Fluxys Belgium, Open Grid Europe -> Fluxys Belgium, Fluxys TENP -> Fluxys Belgium;;BE;1;;entry;;N/A;1;N/A;;NCG;;121Z0000000000163FirmYearlyBE-TSO-0001ITP-00159entry2018-01-01T05:00:00+00:00__2018-01-01T05:00:00+00:00__2019-01-01T05:00:00+00:00;0;;;False;;;2020-12-28T09:36:50+01:00;N/A;;Fluxys Belgium;EUR;BE-TSO-0001;;be-tso-0001itp-00159entry;2018-01-01T06:00:00+01:00;2019-01-01T06:00:00+01:00;;ITP-00159;Eynatten 2 (BE) // Lichtenbusch / Raeren (DE);CB_ITP_EU;2018-01-01T06:00:00+01:00;2019-01-01T06:00:00+01:00;Yearly;;;N/A;;Firm;kWh/h;;BeLux;21X-BE-A-A0A0A-Y;21Z0000000000163;;
8;0.00001349;0.00001349;The applicable commodity tariff is 0.080% of the allocated quantities at the IP for each hour valued based on the ZTP Day Ahead Index as published by Powernext.The published tariff here has been valued based on the average ZTP Day Ahead Index of the last 12 month.;;Euro/(kWh/h)/d;0.0044;Euro/(kWh/d)/y;0.06691667;Euro/(kWh/h)/y;1.606;EUR/(kWh/d)/y;0.06691667;EUR/(kWh/h)/y;1.606;;;; Fluxys Belgium -> GRTgaz;;BE;1;;exit;;N/A;1;N/A;;BeLux;;121Z000000000010FFirmYearlyBE-TSO-0001ITP-00147exit2018-01-01T05:00:00+00:00__2018-01-01T05:00:00+00:00__2019-01-01T05:00:00+00:00;0;;;False;;;2020-12-28T09:36:50+01:00;N/A;;Fluxys Belgium;EUR;BE-TSO-0001;;be-tso-0001itp-00147exit;2018-01-01T06:00:00+01:00;2019-01-01T06:00:00+01:00;;ITP-00147;Blaregnies (H) (BE) / Taisnières (H) (FR) (Troll);CB_ITP_EU;2018-01-01T06:00:00+01:00;2019-01-01T06:00:00+01:00;Yearly;;;N/A;;Firm;kWh/h;;PEG North;21X-BE-A-A0A0A-Y;21Z000000000010F;;
9;0.00001349;0.00001349;The applicable commodity tariff is 0.080% of the allocated quantities at the IP for each hour valued based on the ZTP Day Ahead Index as published by Powernext.The published tariff here has been valued based on the average ZTP Day Ahead Index of the last 12 month.;;Euro/(kWh/h)/d;0.0052137;Euro/(kWh/d)/y;0.07929167;Euro/(kWh/h)/y;1.903;EUR/(kWh/d)/y;0.07929167;EUR/(kWh/h)/y;1.903;;;; Fluxys Belgium -> Zebra Pijpleiding, Fluxys Belgium -> GTS;;BE;1;;exit;;N/A;1;N/A;;BeLux;;121Z000000000019YFirmYearlyBE-TSO-0001ITP-00101exit2018-01-01T05:00:00+00:00__2018-01-01T05:00:00+00:00__2019-01-01T05:00:00+00:00;0;;;False;;;2020-12-28T09:36:50+01:00;N/A;;Fluxys Belgium;EUR;BE-TSO-0001;;be-tso-0001itp-00101exit;2018-01-01T06:00:00+01:00;2019-01-01T06:00:00+01:00;;ITP-00101;Zelzate;CB_ITP_EU;2018-01-01T06:00:00+01:00;2019-01-01T06:00:00+01:00;Yearly;;;N/A;;Firm;kWh/h;;Netherlands;21X-BE-A-A0A0A-Y;21Z000000000019Y;;
