;capacity_booking_status;capacity_type;connection;connection_remarks;country_code;data_set;direction;direction_key;display_order;exchange_rate_reference_date;flow_status;from_b_z;general_remarks;id;id_point_type;indicator;interruption_type;is_archived;is_unlimited;item_remarks;last_update_date_time;operator;operator_currency;operator_key;operator_label;operator_point_direction;period_from;period_to;period_type;point_key;point_label;point_type;product_simulation_cost_in_e_u_r_o;product_simulation_cost_in_local_currency;product_simulation_cost_remarks;product_type;remarks;restoration_information;tariff_capacity_remarks;tariff_capacity_type;tariff_capacity_unit;tariff_period_remarks;to_b_z;tso_eic_code;tso_item_identifier;unit;value
0;;; GRTgaz -> Fluxys Belgium;;BE;3;;entry;1;N/A;;TRF;;321Z000000000011DFirmYearlyBE-TSO-0001ITP-00115entry2018-01-01T05:00:00+00:00__2019-01-01T05:00:00+00:00;0;;;False;;;2020-12-28T09:37:00+01:00;Fluxys Belgium;EUR;BE-TSO-0001;;be-tso-0001itp-00115entry;2018-01-01T06:00:00+01:00;2019-01-01T06:00:00+01:00;;ITP-00115;Blaregnies L (BE) / Taisnières B (FR);CB_ITP_EU;N/A;N/A;only physical exit flow;Yearly;;;;Firm;kWh/h;;L-Zone;21X-BE-A-A0A0A-Y;21Z000000000011D;;
1;;; Zebra Pijpleiding -> Fluxys Belgium, GTS -> Fluxys Belgium;;BE;3;;entry;1;N/A;;Netherlands;;321Z0000000001062FirmYearlyBE-TSO-0001ITP-00088entry2018-01-01T05:00:00+00:00__2019-01-01T05:00:00+00:00;0;;;False;;;2020-12-28T09:37:00+01:00;Fluxys Belgium;EUR;BE-TSO-0001;;be-tso-0001itp-00088entry;2018-01-01T06:00:00+01:00;2019-01-01T06:00:00+01:00;;ITP-00088;Zandvliet H-gas;CB_ITP_EU;35423.32;35423.32;;Yearly;;;;Firm;kWh/h;;BeLux;21X-BE-A-A0A0A-Y;21Z0000000001062;;
2;;; GRTgaz -> Fluxys Belgium;;BE;3;;entry;1;N/A;;PEG North;;321Z000000000012BFirmYearlyBE-TSO-0001ITP-00114entry2018-01-01T05:00:00+00:00__2019-01-01T05:00:00+00:00;0;;;False;;;2020-12-28T09:37:00+01:00;Fluxys Belgium;EUR;BE-TSO-0001;;be-tso-0001itp-00114entry;2018-01-01T06:00:00+01:00;2019-01-01T06:00:00+01:00;;ITP-00114;Blaregnies (BE) / Taisnières (H) (FR) (Segeo);CB_ITP_EU;35423.32;35423.32;;Yearly;;;;Firm;kWh/h;;BeLux;21X-BE-A-A0A0A-Y;21Z000000000012B;;
3;;; Zebra Pijpleiding -> Fluxys Belgium, GTS -> Fluxys Belgium;;BE;3;;entry;1;N/A;;Netherlands;;321Z000000000019YFirmYearlyBE-TSO-0001ITP-00101entry2018-01-01T05:00:00+00:00__2019-01-01T05:00:00+00:00;0;;;False;;;2020-12-28T09:37:00+01:00;Fluxys Belgium;EUR;BE-TSO-0001;;be-tso-0001itp-00101entry;2018-01-01T06:00:00+01:00;2019-01-01T06:00:00+01:00;;ITP-00101;Zelzate;CB_ITP_EU;35423.32;35423.32;;Yearly;;;;Firm;kWh/h;;BeLux;21X-BE-A-A0A0A-Y;21Z000000000019Y;;
4;;; GRTgaz -> Fluxys Belgium;;BE;3;;entry;1;N/A;;PEG North;;321Z000000000359AFirmYearlyBE-TSO-0001LNG-00005entry2018-01-01T05:00:00+00:00__2019-01-01T05:00:00+00:00;0;;;False;;;2020-12-28T09:37:00+01:00;Fluxys Belgium;EUR;BE-TSO-0001;;be-tso-0001lng-00005entry;2018-01-01T06:00:00+01:00;2019-01-01T06:00:00+01:00;;LNG-00005;Alveringem;CB_ITP_EU;35423.32;35423.32;;Yearly;;;;Firm;kWh/h;;BeLux;21X-BE-A-A0A0A-Y;21Z000000000359A;;
5;;;  -> Fluxys Belgium;;BE;3;;entry;1;N/A;;BeLux;;321Z0000000000090FirmYearlyBE-TSO-0001VTP-00029entry2018-01-01T05:00:00+00:00__2019-01-01T05:00:00+00:00;9;;;False;;;2020-12-28T09:37:00+01:00;Fluxys Belgium;EUR;BE-TSO-0001;;be-tso-0001vtp-00029entry;2018-01-01T06:00:00+01:00;2019-01-01T06:00:00+01:00;;VTP-00029;Zeebrugge Beach;IN_VTP;30500;30500;;Yearly;;;;Firm;kWh/h;;BeLux;21X-BE-A-A0A0A-Y;21Z0000000000090;;
6;;; GRTgaz -> Fluxys Belgium;;BE;3;;entry;1;N/A;;PEG North;;321Z000000000010FFirmYearlyBE-TSO-0001ITP-00147entry2018-01-01T05:00:00+00:00__2019-01-01T05:00:00+00:00;0;;;False;;;2020-12-28T09:37:00+01:00;Fluxys Belgium;EUR;BE-TSO-0001;;be-tso-0001itp-00147entry;2018-01-01T06:00:00+01:00;2019-01-01T06:00:00+01:00;;ITP-00147;Blaregnies (H) (BE) / Taisnières (H) (FR) (Troll);CB_ITP_EU;35423.32;35423.32;;Yearly;;;;Firm;kWh/h;;BeLux;21X-BE-A-A0A0A-Y;21Z000000000010F;;
7;;; Thyssengas -> Fluxys Belgium, Open Grid Europe -> Fluxys Belgium, Fluxys TENP -> Fluxys Belgium;;BE;3;;entry;1;N/A;;NCG;;321Z0000000000163FirmYearlyBE-TSO-0001ITP-00159entry2018-01-01T05:00:00+00:00__2019-01-01T05:00:00+00:00;0;;;False;;;2020-12-28T09:37:00+01:00;Fluxys Belgium;EUR;BE-TSO-0001;;be-tso-0001itp-00159entry;2018-01-01T06:00:00+01:00;2019-01-01T06:00:00+01:00;;ITP-00159;Eynatten 2 (BE) // Lichtenbusch / Raeren (DE);CB_ITP_EU;35423.32;35423.32;;Yearly;;;;Firm;kWh/h;;BeLux;21X-BE-A-A0A0A-Y;21Z0000000000163;;
8;;; Fluxys Belgium -> GRTgaz;;BE;3;;exit;1;N/A;;BeLux;;321Z000000000010FFirmYearlyBE-TSO-0001ITP-00147exit2018-01-01T05:00:00+00:00__2019-01-01T05:00:00+00:00;0;;;False;;;2020-12-28T09:37:00+01:00;Fluxys Belgium;EUR;BE-TSO-0001;;be-tso-0001itp-00147exit;2018-01-01T06:00:00+01:00;2019-01-01T06:00:00+01:00;;ITP-00147;Blaregnies (H) (BE) / Taisnières (H) (FR) (Troll);CB_ITP_EU;71839.99;71839.99;;Yearly;;;;Firm;kWh/h;;PEG North;21X-BE-A-A0A0A-Y;21Z000000000010F;;
9;;; Fluxys Belgium -> Zebra Pijpleiding, Fluxys Belgium -> GTS;;BE;3;;exit;1;N/A;;BeLux;;321Z000000000019YFirmYearlyBE-TSO-0001ITP-00101exit2018-01-01T05:00:00+00:00__2019-01-01T05:00:00+00:00;0;;;False;;;2020-12-28T09:37:00+01:00;Fluxys Belgium;EUR;BE-TSO-0001;;be-tso-0001itp-00101exit;2018-01-01T06:00:00+01:00;2019-01-01T06:00:00+01:00;;ITP-00101;Zelzate;CB_ITP_EU;84214.99;84214.99;;Yearly;;;;Firm;kWh/h;;Netherlands;21X-BE-A-A0A0A-Y;21Z000000000019Y;;
