;id;message_id;market_participant_key;market_participant_eic;market_participant_name;message_type;publication_date_time;thread_id;version_number;event_status;event_type;event_start;event_stop;unavailability_type;unavailability_reason;unit_measure;balancing_zone_key;balancing_zone_eic;balancing_zone_name;affected_asset_identifier;affected_asset_name;affected_asset_eic;direction;unavailable_capacity;available_capacity;technical_capacity;remarks;last_update_date_time;share_point_point_id;is_latest_version;share_point_publication_id;u_m_m_type;is_archived
0;1080001;19041521X-DE-F-A0A0A-2001_001;DE-TSO-0003;21X-DE-F-A0A0A-2;ONTRAS Gastransport GmbH;Other;2019-04-15T14:18:24+02:00;19041521X-DE-F-A0A0A-2001;001;Active;Active;2019-04-15T13:00:00+02:00;;;;kWh/d;;;;;;;;;;;Due to a failure of the nomination system (individual system or all systems) it is not possible to process any nomination messages. Furthermore it is not possible to realise the matching process. Received messages are buffered and will be processed as soons as the system is available again.;2019-09-10T11:44:27+02:00;0.0;No;21X-DE-F-A0A0A-2Manual108;;
1;1100001;19041521X-DE-F-A0A0A-2002_001;DE-TSO-0003;21X-DE-F-A0A0A-2;ONTRAS Gastransport GmbH;Other;2019-04-15T14:37:29+02:00;19041521X-DE-F-A0A0A-2002;001;Active;Active;2019-04-15T13:00:00+02:00;;;;kWh/d;;;;;;;;;;;Due to a failure of the capacity management systems (individual system or all systems) it is currently not  possible to book capacity in the auction or via FCFS for the ONTRAS grid on PRISMA. ;2019-09-10T11:44:27+02:00;0.0;No;21X-DE-F-A0A0A-2Manual110;;
2;1080002;19041521X-DE-F-A0A0A-2001_002;DE-TSO-0003;21X-DE-F-A0A0A-2;ONTRAS Gastransport GmbH;Other;2019-04-15T17:38:52+02:00;19041521X-DE-F-A0A0A-2001;002;Inactive;Active;2019-04-15T13:00:00+02:00;;;;kWh/d;;;;;;;;;;;Due to a failure of the nomination system (individual system or all systems) it is not possible to process any nomination messages. Furthermore it is not possible to realise the matching process. Received messages are buffered and will be processed as soons as the system is available again.;2019-09-10T11:44:27+02:00;0.0;Yes;21X-DE-F-A0A0A-2Manual108;;
3;1100002;19041521X-DE-F-A0A0A-2002_002;DE-TSO-0003;21X-DE-F-A0A0A-2;ONTRAS Gastransport GmbH;Other;2019-04-15T17:39:03+02:00;19041521X-DE-F-A0A0A-2002;002;Inactive;Active;2019-04-15T13:00:00+02:00;;;;kWh/d;;;;;;;;;;;Due to a failure of the capacity management systems (individual system or all systems) it is currently not  possible to book capacity in the auction or via FCFS for the ONTRAS grid on PRISMA. ;2019-09-10T11:44:27+02:00;0.0;Yes;21X-DE-F-A0A0A-2Manual110;;
4;1907000421X-DE-H-A0A0A-L001;19070221X-DE-H-A0A0A-L003_001;DE-TSO-0001;21X-DE-H-A0A0A-L;GASCADE Gastransport GmbH;Other;2019-07-02T10:46:24+02:00;19070221X-DE-H-A0A0A-L003;001;Active;;2020-01-01T06:00:00+01:00;;;;;;;;;;;;;;;Tarif Information: The fees for firm and free assignable capacity with a booking period of one year amount to 3,36 €/kWh/h/a for the Gaspool market area with effect from 01.01.2020. GASCADE points out that it has lodged a complaint against the decision REGENT-GP (BK9-18 / 611-GP) issued by the Federal Network Agency on 29/03/2019 - which is the basis for the fee - before the competent court. At the same time, by means of an urgent court procedure, GASCADE has requested that the suspensive effect of this complaint is to be restored.;2019-09-10T11:44:25+02:00;;Yes;21X-DE-H-A0A0A-LAutomatic19070004;Automatic;
5;1700001;19071921X-DE-H-A0A0A-L001_001;DE-TSO-0001;21X-DE-H-A0A0A-L;GASCADE Gastransport GmbH;Other;2019-07-19T14:28:05+02:00;19071921X-DE-H-A0A0A-L001;001;Active;Active;2019-07-19T16:00:00+02:00;;;;kWh/d;;;;;;;;;;;As a result of non-compliance with certain requirements of the General Terms & Conditions for Entry/Exit Contracts of OPAL Gastransport by one of the auction participants for firm free allocable yearly capacities for gas year 2019/20 at “Brandov-OPAL Bundle DE->CZ” held on 1. July 2019 (auction ID: 25940287) the auction result was corrected retroactively.;2019-09-10T11:44:27+02:00;0.0;No;21X-DE-H-A0A0A-LManual170;;
6;1700002;19071921X-DE-H-A0A0A-L001_002;DE-TSO-0001;21X-DE-H-A0A0A-L;GASCADE Gastransport GmbH;Other;2019-07-19T14:49:09+02:00;19071921X-DE-H-A0A0A-L001;002;Active;Active;2019-07-19T15:00:00+02:00;;;;kWh/d;;;;;;;;;;;As a result of non-compliance with certain requirements of the General Terms & Conditions for Entry/Exit Contracts of OPAL Gastransport by one of the auction participants for firm free allocable yearly capacities for gas year 2019/20 at “Brandov-OPAL Bundle DE->CZ” held on 1. July 2019 (auction ID: 25940287) the auction result was corrected retroactively.;2019-09-10T11:44:27+02:00;0.0;No;21X-DE-H-A0A0A-LManual170;;
7;1700003;19071921X-DE-H-A0A0A-L001_003;DE-TSO-0001;21X-DE-H-A0A0A-L;GASCADE Gastransport GmbH;Other;2019-07-19T14:50:40+02:00;19071921X-DE-H-A0A0A-L001;003;Active;Active;2019-07-19T15:55:00+02:00;;;;kWh/d;;;;;;;;;;;As a result of non-compliance with certain requirements of the General Terms & Conditions for Entry/Exit Contracts of OPAL Gastransport by one of the auction participants for firm free allocable yearly capacities for gas year 2019/20 at “Brandov-OPAL Bundle DE->CZ” held on 1. July 2019 (auction ID: 25940287) the auction result was corrected retroactively.;2019-09-10T11:44:27+02:00;0.0;No;21X-DE-H-A0A0A-LManual170;;
8;1700004;19071921X-DE-H-A0A0A-L001_004;DE-TSO-0001;21X-DE-H-A0A0A-L;GASCADE Gastransport GmbH;Other;2019-07-19T14:57:20+02:00;19071921X-DE-H-A0A0A-L001;004;Active;Active;2019-07-19T14:00:00+02:00;;;;kWh/d;;;;;;;;;;;As a result of non-compliance with certain requirements of the General Terms & Conditions for Entry/Exit Contracts of OPAL Gastransport by one of the auction participants for firm free allocable yearly capacities for gas year 2019/20 at “Brandov-OPAL Bundle DE->CZ” held on 1. July 2019 (auction ID: 25940287) the auction result was corrected retroactively.;2019-09-10T11:44:27+02:00;0.0;No;21X-DE-H-A0A0A-LManual170;;
9;1907000221X0000000011845001;19071921X0000000011845001_001;DE-TSO-0016;21X0000000011845;OPAL Gastransport GmbH & Co. KG;Other;2019-07-19T15:38:53+02:00;19071921X0000000011845001;001;Active;;2019-07-19T14:00:00+02:00;;;;;;;;;;;;;;;As a result of non-compliance with certain requirements of the General Terms & Conditions for Entry/Exit Contracts of OPAL Gastransport by one of the auction participants for firm free allocable yearly capacities for gas year 2019/20 at “Brandov-OPAL Bundle DE->CZ” held on 1. July 2019 (auction ID: 25940287) the auction result was corrected retroactively.;2019-09-10T11:44:25+02:00;;Yes;21X0000000011845Automatic19070002;Automatic;
