,id,data_set,data_set_label,indicator,period_type,period_from,period_to,country_key,country_label,bz_key,bz_short,bz_long,operator_key,operator_label,tso_eic_code,direction_key,adjacent_systems_key,adjacent_systems_label,year,month,day,unit,value,count_point_presents,flow_status,points_names,last_update_date_time,region_key,adjacent_bz_key
43,1AggregatesDEDE-GASPOOL-DE-TSO-0018entryTransmission2021-01-02T05:00:00+00:002021-01-02T06:00:00+00:00Allocation,1,Aggregates,Allocation,hour,2021-01-02T06:00:00+01:00,2021-01-02T07:00:00+01:00,DE,Germany,DE-GASPOOL-,GASPOOL,GASPOOL Balancing Zone,DE-TSO-0018,Fluxys Deutschland GmbH,21X0000000012388,entry,Transmission,Transmission,2021,1,2,kWh/h,10805611.0,2,Provisionnal,Greifswald / Fluxys Deutschland|Lubmin II,2021-01-29T11:54:06+01:00,NWE,-----------
44,1AggregatesDEDE-GASPOOL-DE-TSO-0018entryTransmission2021-01-02T05:00:00+00:002021-01-02T06:00:00+00:00Nomination/Renomination,1,Aggregates,Nomination/Renomination,hour,2021-01-02T06:00:00+01:00,2021-01-02T07:00:00+01:00,DE,Germany,DE-GASPOOL-,GASPOOL,GASPOOL Balancing Zone,DE-TSO-0018,Fluxys Deutschland GmbH,21X0000000012388,entry,Transmission,Transmission,2021,1,2,kWh/h,10805611.0,2,Provisionnal,Greifswald / Fluxys Deutschland|Lubmin II,2021-01-03T08:32:51+01:00,NWE,-----------
50,1AggregatesDEDE-GASPOOL-DE-TSO-0018exitTransmission2021-01-02T05:00:00+00:002021-01-02T06:00:00+00:00Allocation,1,Aggregates,Allocation,hour,2021-01-02T06:00:00+01:00,2021-01-02T07:00:00+01:00,DE,Germany,DE-GASPOOL-,GASPOOL,GASPOOL Balancing Zone,DE-TSO-0018,Fluxys Deutschland GmbH,21X0000000012388,exit,Transmission,Transmission,2021,1,2,kWh/h,0.0,2,Provisionnal,Greifswald / Fluxys Deutschland|Lubmin II,2021-01-29T11:54:06+01:00,NWE,-----------
51,1AggregatesDEDE-GASPOOL-DE-TSO-0018exitTransmission2021-01-02T05:00:00+00:002021-01-02T06:00:00+00:00Nomination/Renomination,1,Aggregates,Nomination/Renomination,hour,2021-01-02T06:00:00+01:00,2021-01-02T07:00:00+01:00,DE,Germany,DE-GASPOOL-,GASPOOL,GASPOOL Balancing Zone,DE-TSO-0018,Fluxys Deutschland GmbH,21X0000000012388,exit,Transmission,Transmission,2021,1,2,kWh/h,0.0,2,Provisionnal,Greifswald / Fluxys Deutschland|Lubmin II,2021-01-03T08:32:51+01:00,NWE,-----------
57,1AggregatesDEDE-GASPOOL-DE-TSO-0020entryTransmission2021-01-02T05:00:00+00:002021-01-02T06:00:00+00:00Nomination/Renomination,1,Aggregates,Nomination/Renomination,hour,2021-01-02T06:00:00+01:00,2021-01-02T07:00:00+01:00,DE,Germany,DE-GASPOOL-,GASPOOL,GASPOOL Balancing Zone,DE-TSO-0020,Lubmin-Brandov Gastransport GmbH,21X000000001309B,entry,Transmission,Transmission,2021,1,2,kWh/h,0.0,1,Provisionnal,Greifswald / LBTG,2021-01-03T08:32:51+01:00,NWE,-----------
62,1AggregatesDEDE-GASPOOL-DE-TSO-0001entryTransmission2021-01-02T04:00:00+00:002021-01-02T05:00:00+00:00Allocation,1,Aggregates,Allocation,hour,2021-01-02T05:00:00+01:00,2021-01-02T06:00:00+01:00,DE,Germany,DE-GASPOOL-,GASPOOL,GASPOOL Balancing Zone,DE-TSO-0001,GASCADE Gastransport GmbH,21X-DE-H-A0A0A-L,entry,Transmission,Transmission,2021,1,2,kWh/h,12590410.0,1,Provisionnal,Lubmin II,2021-01-02T12:43:05+01:00,NWE,-----------
63,1AggregatesDEDE-GASPOOL-DE-TSO-0001entryTransmission2021-01-02T04:00:00+00:002021-01-02T05:00:00+00:00Nomination/Renomination,1,Aggregates,Nomination/Renomination,hour,2021-01-02T05:00:00+01:00,2021-01-02T06:00:00+01:00,DE,Germany,DE-GASPOOL-,GASPOOL,GASPOOL Balancing Zone,DE-TSO-0001,GASCADE Gastransport GmbH,21X-DE-H-A0A0A-L,entry,Transmission,Transmission,2021,1,2,kWh/h,12590410.0,1,Provisionnal,Lubmin II,2021-01-02T05:32:57+01:00,NWE,-----------
64,1AggregatesDEDE-GASPOOL-DE-TSO-0001entryTransmission2021-01-02T04:00:00+00:002021-01-02T05:00:00+00:00Physical Flow,1,Aggregates,Physical Flow,hour,2021-01-02T05:00:00+01:00,2021-01-02T06:00:00+01:00,DE,Germany,DE-GASPOOL-,GASPOOL,GASPOOL Balancing Zone,DE-TSO-0001,GASCADE Gastransport GmbH,21X-DE-H-A0A0A-L,entry,Transmission,Transmission,2021,1,2,kWh/h,0.0,1,Provisionnal,Lubmin II,2021-02-08T05:50:46+01:00,NWE,-----------
103,1AggregatesDEDE-NCG-----DE-TSO-0002entryTransmission2021-01-02T04:00:00+00:002021-01-02T05:00:00+00:00Allocation,1,Aggregates,Allocation,hour,2021-01-02T05:00:00+01:00,2021-01-02T06:00:00+01:00,DE,Germany,DE-NCG-----,NCG,NCG Balancing Zone,DE-TSO-0002,Thyssengas GmbH,21X-DE-G-A0A0A-U,entry,Transmission,Transmission,2021,1,2,kWh/h,1889249.0,1,Provisionnal,Emden (EPT1) (Thyssengas),2021-01-02T14:47:57+01:00,NWE,-----------
104,1AggregatesDEDE-NCG-----DE-TSO-0002entryTransmission2021-01-02T04:00:00+00:002021-01-02T05:00:00+00:00Nomination/Renomination,1,Aggregates,Nomination/Renomination,hour,2021-01-02T05:00:00+01:00,2021-01-02T06:00:00+01:00,DE,Germany,DE-NCG-----,NCG,NCG Balancing Zone,DE-TSO-0002,Thyssengas GmbH,21X-DE-G-A0A0A-U,entry,Transmission,Transmission,2021,1,2,kWh/h,1889249.0,1,Provisionnal,Emden (EPT1) (Thyssengas),2021-01-02T05:49:25+01:00,NWE,-----------
115,1AggregatesDEDE-NCG-----DE-TSO-0002exitTransmission2021-01-02T04:00:00+00:002021-01-02T05:00:00+00:00Allocation,1,Aggregates,Allocation,hour,2021-01-02T05:00:00+01:00,2021-01-02T06:00:00+01:00,DE,Germany,DE-NCG-----,NCG,NCG Balancing Zone,DE-TSO-0002,Thyssengas GmbH,21X-DE-G-A0A0A-U,exit,Transmission,Transmission,2021,1,2,kWh/h,0.0,1,Provisionnal,Emden (EPT1) (Thyssengas),2021-01-02T14:47:57+01:00,NWE,-----------
116,1AggregatesDEDE-NCG-----DE-TSO-0002exitTransmission2021-01-02T04:00:00+00:002021-01-02T05:00:00+00:00Nomination/Renomination,1,Aggregates,Nomination/Renomination,hour,2021-01-02T05:00:00+01:00,2021-01-02T06:00:00+01:00,DE,Germany,DE-NCG-----,NCG,NCG Balancing Zone,DE-TSO-0002,Thyssengas GmbH,21X-DE-G-A0A0A-U,exit,Transmission,Transmission,2021,1,2,kWh/h,0.0,1,Provisionnal,Emden (EPT1) (Thyssengas),2021-01-02T05:49:25+01:00,NWE,-----------
127,1AggregatesDEDE-GASPOOL-DE-TSO-0003entryTransmission2021-01-02T04:00:00+00:002021-01-02T05:00:00+00:00Allocation,1,Aggregates,Allocation,hour,2021-01-02T05:00:00+01:00,2021-01-02T06:00:00+01:00,DE,Germany,DE-GASPOOL-,GASPOOL,GASPOOL Balancing Zone,DE-TSO-0003,ONTRAS Gastransport GmbH,21X-DE-F-A0A0A-2,entry,Transmission,Transmission,2021,1,2,kWh/h,4113698.0,1,Provisionnal,Lubmin II,2021-01-04T10:54:38+01:00,NWE,-----------
128,1AggregatesDEDE-GASPOOL-DE-TSO-0003entryTransmission2021-01-02T04:00:00+00:002021-01-02T05:00:00+00:00Nomination/Renomination,1,Aggregates,Nomination/Renomination,hour,2021-01-02T05:00:00+01:00,2021-01-02T06:00:00+01:00,DE,Germany,DE-GASPOOL-,GASPOOL,GASPOOL Balancing Zone,DE-TSO-0003,ONTRAS Gastransport GmbH,21X-DE-F-A0A0A-2,entry,Transmission,Transmission,2021,1,2,kWh/h,4113698.0,1,Provisionnal,Lubmin II,2021-03-25T17:04:55+01:00,NWE,-----------
176,1AggregatesDEDE-GASPOOL-DE-TSO-0005entryTransmission2021-01-02T04:00:00+00:002021-01-02T05:00:00+00:00Allocation,1,Aggregates,Allocation,hour,2021-01-02T05:00:00+01:00,2021-01-02T06:00:00+01:00,DE,Germany,DE-GASPOOL-,GASPOOL,GASPOOL Balancing Zone,DE-TSO-0005,Gasunie Deutschland Transport Services GmbH,21X-DE-D-A0A0A-K,entry,Transmission,Transmission,2021,1,2,kWh/h,15414244.0,4,Provisionnal,Dornum / NETRA (GUD)|Emden (EPT1) (GUD)|Greifswald / GUD|Lubmin II,2021-02-21T12:51:34+01:00,NWE,-----------
177,1AggregatesDEDE-GASPOOL-DE-TSO-0005entryTransmission2021-01-02T04:00:00+00:002021-01-02T05:00:00+00:00Nomination/Renomination,1,Aggregates,Nomination/Renomination,hour,2021-01-02T05:00:00+01:00,2021-01-02T06:00:00+01:00,DE,Germany,DE-GASPOOL-,GASPOOL,GASPOOL Balancing Zone,DE-TSO-0005,Gasunie Deutschland Transport Services GmbH,21X-DE-D-A0A0A-K,entry,Transmission,Transmission,2021,1,2,kWh/h,15414244.0,4,Provisionnal,Dornum / NETRA (GUD)|Emden (EPT1) (GUD)|Greifswald / GUD|Lubmin II,2021-01-02T05:32:57+01:00,NWE,-----------
178,1AggregatesDEDE-GASPOOL-DE-TSO-0005entryTransmission2021-01-02T04:00:00+00:002021-01-02T05:00:00+00:00Physical Flow,1,Aggregates,Physical Flow,hour,2021-01-02T05:00:00+01:00,2021-01-02T06:00:00+01:00,DE,Germany,DE-GASPOOL-,GASPOOL,GASPOOL Balancing Zone,DE-TSO-0005,Gasunie Deutschland Transport Services GmbH,21X-DE-D-A0A0A-K,entry,Transmission,Transmission,2021,1,2,kWh/h,67091470.0,4,Provisionnal,Dornum / NETRA (GUD)|Emden (EPT1) (GUD)|Greifswald / GUD|Lubmin II,2021-02-21T11:40:47+01:00,NWE,-----------
193,1AggregatesDEDE-GASPOOL-DE-TSO-0005exitTransmission2021-01-02T04:00:00+00:002021-01-02T05:00:00+00:00Allocation,1,Aggregates,Allocation,hour,2021-01-02T05:00:00+01:00,2021-01-02T06:00:00+01:00,DE,Germany,DE-GASPOOL-,GASPOOL,GASPOOL Balancing Zone,DE-TSO-0005,Gasunie Deutschland Transport Services GmbH,21X-DE-D-A0A0A-K,exit,Transmission,Transmission,2021,1,2,kWh/h,0.0,2,Provisionnal,Dornum / NETRA (GUD)|Emden (EPT1) (GUD),2021-02-21T12:51:34+01:00,NWE,-----------
194,1AggregatesDEDE-GASPOOL-DE-TSO-0005exitTransmission2021-01-02T04:00:00+00:002021-01-02T05:00:00+00:00Nomination/Renomination,1,Aggregates,Nomination/Renomination,hour,2021-01-02T05:00:00+01:00,2021-01-02T06:00:00+01:00,DE,Germany,DE-GASPOOL-,GASPOOL,GASPOOL Balancing Zone,DE-TSO-0005,Gasunie Deutschland Transport Services GmbH,21X-DE-D-A0A0A-K,exit,Transmission,Transmission,2021,1,2,kWh/h,0.0,2,Provisionnal,Dornum / NETRA (GUD)|Emden (EPT1) (GUD),2021-01-02T05:32:57+01:00,NWE,-----------
237,1AggregatesDEDE-GASPOOL-DE-TSO-0009entryTransmission2021-01-02T04:00:00+00:002021-01-02T05:00:00+00:00Allocation,1,Aggregates,Allocation,hour,2021-01-02T05:00:00+01:00,2021-01-02T06:00:00+01:00,DE,Germany,DE-GASPOOL-,GASPOOL,GASPOOL Balancing Zone,DE-TSO-0009,Open Grid Europe GmbH,21X-DE-C-A0A0A-T,entry,Transmission,Transmission,2021,1,2,kWh/h,1659658.0,1,Provisionnal,Dornum GASPOOL,2021-01-31T09:56:22+01:00,NWE,-----------
238,1AggregatesDEDE-GASPOOL-DE-TSO-0009entryTransmission2021-01-02T04:00:00+00:002021-01-02T05:00:00+00:00Nomination/Renomination,1,Aggregates,Nomination/Renomination,hour,2021-01-02T05:00:00+01:00,2021-01-02T06:00:00+01:00,DE,Germany,DE-GASPOOL-,GASPOOL,GASPOOL Balancing Zone,DE-TSO-0009,Open Grid Europe GmbH,21X-DE-C-A0A0A-T,entry,Transmission,Transmission,2021,1,2,kWh/h,1659658.0,1,Provisionnal,Dornum GASPOOL,2021-01-04T12:59:41+01:00,NWE,-----------
239,1AggregatesDEDE-GASPOOL-DE-TSO-0009entryTransmission2021-01-02T04:00:00+00:002021-01-02T05:00:00+00:00Physical Flow,1,Aggregates,Physical Flow,hour,2021-01-02T05:00:00+01:00,2021-01-02T06:00:00+01:00,DE,Germany,DE-GASPOOL-,GASPOOL,GASPOOL Balancing Zone,DE-TSO-0009,Open Grid Europe GmbH,21X-DE-C-A0A0A-T,entry,Transmission,Transmission,2021,1,2,kWh/h,18712844.4,1,Provisionnal,Dornum GASPOOL,2021-01-05T12:41:06+01:00,NWE,-----------
246,1AggregatesDEDE-NCG-----DE-TSO-0009entryTransmission2021-01-02T04:00:00+00:002021-01-02T05:00:00+00:00Allocation,1,Aggregates,Allocation,hour,2021-01-02T05:00:00+01:00,2021-01-02T06:00:00+01:00,DE,Germany,DE-NCG-----,NCG,NCG Balancing Zone,DE-TSO-0009,Open Grid Europe GmbH,21X-DE-C-A0A0A-T,entry,Transmission,Transmission,2021,1,2,kWh/h,9319697.0,2,Provisionnal,Dornum / NETRA (OGE)|Emden (EPT1) (OGE),2021-02-01T09:50:30+01:00,NWE,-----------
247,1AggregatesDEDE-NCG-----DE-TSO-0009entryTransmission2021-01-02T04:00:00+00:002021-01-02T05:00:00+00:00Nomination/Renomination,1,Aggregates,Nomination/Renomination,hour,2021-01-02T05:00:00+01:00,2021-01-02T06:00:00+01:00,DE,Germany,DE-NCG-----,NCG,NCG Balancing Zone,DE-TSO-0009,Open Grid Europe GmbH,21X-DE-C-A0A0A-T,entry,Transmission,Transmission,2021,1,2,kWh/h,10522337.0,2,Provisionnal,Dornum / NETRA (OGE)|Emden (EPT1) (OGE),2021-01-04T12:59:41+01:00,NWE,-----------
