,pointKey,pointLabel,operatorKey,tsoEicCode,operatorLabel,directionKey,validFrom,validTo,hasData,isVirtualizedCommercially,virtualizedCommerciallySince,isVirtualizedOperationally,virtualizedOperationallySince,isPipeInPipe,relatedOperators,relatedPoints,pipeInPipeWithTsoKey,pipeInPipeWithTsoLabel,isDoubleReporting,doubleReportingWithTsoKey,doubleReportingWithTsoLabel,tsoItemIdentifier,tpTsoItemLabel,tpTsoValidFrom,tpTsoValidTo,tpTsoRemarks,tpTsoConversionFactor,tpRmkGridConversionFactorCapacityDefault,tpTsoGCVMin,tpTsoGCVMax,tpTsoGCVRemarks,tpTsoGCVUnit,tpTsoEntryExitType,multiAnnualContractsIsAvailable,multiAnnualContractsRemarks,annualContractsIsAvailable,annualContractsRemarks,halfAnnualContractsIsAvailable,halfAnnualContractsRemarks,quarterlyContractsIsAvailable,quarterlyContractsRemarks,monthlyContractsIsAvailable,monthlyContractsRemarks,dailyContractsIsAvailable,dailyContractsRemarks,dayAheadContractsIsAvailable,dayAheadContractsRemarks,availableContractsRemarks,sentenceCMPUnsuccessful,sentenceCMPUnavailable,sentenceCMPAuction,sentenceCMPMadeAvailable,lastUpdateDateTime,isInvalid,isCAMRelevant,isCMPRelevant,bookingPlatformKey,bookingPlatformLabel,bookingPlatformURL,virtualReverseFlow,virtualReverseFlowRemark,tSOCountry,tSOBalancingZone,crossBorderPointType,eURelationship,connectedOperators,adjacentTsoEic,adjacentOperatorKey,adjacentCountry,pointType,idPointType,adjacentZones,id,dataSet
0,DIS-00191,Distribution (BE) H-zone,BE-TSO-0001,21X-BE-A-A0A0A-Y,Fluxys Belgium,entry,,,True,False,,False,,False,,,,,,,,21Y0000000000484,Distribution H-Zone,2000-01-01,2099-12-31,,1.000000,,11.300000,11.300000,,kWh/Nm³,,False,,True,,False,,True,,True,,True,,True,,,Currently there are no request for firm capacity products on this point with a duration of one month or longer that weren't successfully fulfilled.,Currently firm products with a duration of one month or longer are offered on this point in the regular allocation process.,Currently there are no firm capacity products on this point with a duration of one month or longer auctioned having cleared with an auction premium.,Currently no capacity has been made available on this point through the application of the congestion-management procedures.,2022-01-05T21:01:12+01:00,False,,,,,,No,,BE,BeLux,In-country EU,within EU,,,,BE,Distribution Point,17,,5BE-TSO-0001DIS-00191entry,5
1,DIS-00191,Distribution (BE) H-zone,BE-TSO-0001,21X-BE-A-A0A0A-Y,Fluxys Belgium,exit,,,True,False,,False,,False,,,,,,,,21Y0000000000484,Distribution H-zone,2000-01-01,2099-12-31,,1.000000,,11.300000,11.300000,,kWh/Nm³,,False,,True,,False,,True,,True,,True,,True,,,Currently there are no request for firm capacity products on this point with a duration of one month or longer that weren't successfully fulfilled.,Currently firm products with a duration of one month or longer are offered on this point in the regular allocation process.,Currently there are no firm capacity products on this point with a duration of one month or longer auctioned having cleared with an auction premium.,Currently no capacity has been made available on this point through the application of the congestion-management procedures.,2022-01-05T21:01:12+01:00,False,,,,,,No,,BE,BeLux,In-country EU,within EU,,,,BE,Distribution Point,17,,5BE-TSO-0001DIS-00191exit,5
2,DIS-00192,Distribution (BE) L-zone,BE-TSO-0001,21X-BE-A-A0A0A-Y,Fluxys Belgium,entry,,,True,False,,False,,False,,,,,,,,21Y0000000000476,Distribution L-Zone,2000-01-01,2099-12-31,,1.000000,,11.300000,11.300000,,kWh/Nm³,,False,,True,,False,,True,,True,,True,,True,,,Currently there are no request for firm capacity products on this point with a duration of one month or longer that weren't successfully fulfilled.,Currently firm products with a duration of one month or longer are offered on this point in the regular allocation process.,Currently there are no firm capacity products on this point with a duration of one month or longer auctioned having cleared with an auction premium.,Currently no capacity has been made available on this point through the application of the congestion-management procedures.,2022-01-05T21:01:12+01:00,False,,,,,,No,,BE,L-Zone,In-country EU,within EU,,,,BE,Distribution Point,17,,5BE-TSO-0001DIS-00192entry,5
3,DIS-00192,Distribution (BE) L-zone,BE-TSO-0001,21X-BE-A-A0A0A-Y,Fluxys Belgium,exit,,,True,False,,False,,False,,,,,,,,21Y0000000000476,Distribution L-zone,2000-01-01,2099-12-31,,1.000000,,11.300000,11.300000,,kWh/Nm³,,False,,True,,False,,True,,True,,True,,True,,,Currently there are no request for firm capacity products on this point with a duration of one month or longer that weren't successfully fulfilled.,Currently firm products with a duration of one month or longer are offered on this point in the regular allocation process.,Currently there are no firm capacity products on this point with a duration of one month or longer auctioned having cleared with an auction premium.,Currently no capacity has been made available on this point through the application of the congestion-management procedures.,2022-01-05T21:01:12+01:00,False,,,,,,No,,BE,L-Zone,In-country EU,within EU,,,,BE,Distribution Point,17,,5BE-TSO-0001DIS-00192exit,5
4,FNC-00033,Final consumers (BE) (Fluxys) Industrial clients H-zone,BE-TSO-0001,21X-BE-A-A0A0A-Y,Fluxys Belgium,entry,,,True,False,,False,,False,,,,,,,,21Y0000000000468,Industrial clients H-zone,2000-01-01,2099-12-31,,1.000000,,11.300000,11.300000,,kWh/Nm³,,False,,True,,False,,True,,True,,True,,True,,,Currently there are no request for firm capacity products on this point with a duration of one month or longer that weren't successfully fulfilled.,Currently firm products with a duration of one month or longer are offered on this point in the regular allocation process.,Currently there are no firm capacity products on this point with a duration of one month or longer auctioned having cleared with an auction premium.,Currently no capacity has been made available on this point through the application of the congestion-management procedures.,2022-01-05T21:01:12+01:00,False,,,,,,No,,BE,BeLux,In-country EU,within EU,,,,BE,Aggregated Point - Final Consumers,18,,5BE-TSO-0001FNC-00033entry,5
5,FNC-00033,Final consumers (BE) (Fluxys) Industrial clients H-zone,BE-TSO-0001,21X-BE-A-A0A0A-Y,Fluxys Belgium,exit,,,True,False,,False,,False,,,,,,,,21Y0000000000468,Industrial clients H-zone,2000-01-01,2099-12-31,,1.000000,,11.300000,11.300000,,kWh/Nm³,,False,,True,,False,,True,,True,,True,,True,,,Currently there are no request for firm capacity products on this point with a duration of one month or longer that weren't successfully fulfilled.,Currently firm products with a duration of one month or longer are offered on this point in the regular allocation process.,Currently there are no firm capacity products on this point with a duration of one month or longer auctioned having cleared with an auction premium.,Currently no capacity has been made available on this point through the application of the congestion-management procedures.,2022-01-05T21:01:12+01:00,False,,,,,,No,,BE,BeLux,In-country EU,within EU,,,,BE,Aggregated Point - Final Consumers,18,,5BE-TSO-0001FNC-00033exit,5
6,FNC-00034,Final consumers (BE) (Fluxys) Industrial clients L-zone,BE-TSO-0001,21X-BE-A-A0A0A-Y,Fluxys Belgium,entry,,,True,False,,False,,False,,,,,,,,21Y000000000045A,Industrial clients L-zone,2000-01-01,2099-12-31,,1.000000,,11.300000,11.300000,,kWh/Nm³,,False,,True,,False,,True,,True,,True,,True,,,Currently there are no request for firm capacity products on this point with a duration of one month or longer that weren't successfully fulfilled.,Currently firm products with a duration of one month or longer are offered on this point in the regular allocation process.,Currently there are no firm capacity products on this point with a duration of one month or longer auctioned having cleared with an auction premium.,Currently no capacity has been made available on this point through the application of the congestion-management procedures.,2022-01-05T21:01:12+01:00,False,,,,,,No,,BE,L-Zone,In-country EU,within EU,,,,BE,Aggregated Point - Final Consumers,18,,5BE-TSO-0001FNC-00034entry,5
7,FNC-00034,Final consumers (BE) (Fluxys) Industrial clients L-zone,BE-TSO-0001,21X-BE-A-A0A0A-Y,Fluxys Belgium,exit,,,True,False,,False,,False,,,,,,,,21Y000000000045A,Industrial clients L-zone,2000-01-01,2099-12-31,,1.000000,,11.300000,11.300000,,kWh/Nm³,,False,,True,,False,,True,,True,,True,,True,,,Currently there are no request for firm capacity products on this point with a duration of one month or longer that weren't successfully fulfilled.,Currently firm products with a duration of one month or longer are offered on this point in the regular allocation process.,Currently there are no firm capacity products on this point with a duration of one month or longer auctioned having cleared with an auction premium.,Currently no capacity has been made available on this point through the application of the congestion-management procedures.,2022-01-05T21:01:12+01:00,False,,,,,,No,,BE,L-Zone,In-country EU,within EU,,,,BE,Aggregated Point - Final Consumers,18,,5BE-TSO-0001FNC-00034exit,5
8,FNC-00035,Final consumers (BE) (Fluxys) Power Plants H-zone,BE-TSO-0001,21X-BE-A-A0A0A-Y,Fluxys Belgium,entry,,,True,False,,False,,False,,,,,,,,21Y000000000044C,Power Plants H-zone,2000-01-01,2099-12-31,,1.000000,,11.300000,11.300000,,kWh/Nm³,,False,,True,,False,,True,,True,,True,,True,,,Currently there are no request for firm capacity products on this point with a duration of one month or longer that weren't successfully fulfilled.,Currently firm products with a duration of one month or longer are offered on this point in the regular allocation process.,Currently there are no firm capacity products on this point with a duration of one month or longer auctioned having cleared with an auction premium.,Currently no capacity has been made available on this point through the application of the congestion-management procedures.,2022-01-05T21:01:12+01:00,False,,,,,,No,,BE,BeLux,In-country EU,within EU,,,,BE,Aggregated Point - Final Consumers,18,,5BE-TSO-0001FNC-00035entry,5
9,FNC-00035,Final consumers (BE) (Fluxys) Power Plants H-zone,BE-TSO-0001,21X-BE-A-A0A0A-Y,Fluxys Belgium,exit,,,True,False,,False,,False,,,,,,,,21Y000000000044C,Power Plants H-zone,2000-01-01,2099-12-31,,1.000000,,11.300000,11.300000,,kWh/Nm³,,False,,True,,False,,True,,True,,True,,True,,,Currently there are no request for firm capacity products on this point with a duration of one month or longer that weren't successfully fulfilled.,Currently firm products with a duration of one month or longer are offered on this point in the regular allocation process.,Currently there are no firm capacity products on this point with a duration of one month or longer auctioned having cleared with an auction premium.,Currently no capacity has been made available on this point through the application of the congestion-management procedures.,2022-01-05T21:01:12+01:00,False,,,,,,No,,BE,BeLux,In-country EU,within EU,,,,BE,Aggregated Point - Final Consumers,18,,5BE-TSO-0001FNC-00035exit,5
